"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","202","Invitations endpoints tests → Accept invitation → 404 - non-existent invitation key","","Mon Nov 18 22:00:22 GMT 2024","passed","Mon Nov 18 22:00:22 GMT 2024","","Accept invitation →","404 - non-existent invitation key",""
"","196","Invitations endpoints tests → Create shell account → 200 OK: shell account with email","","Mon Nov 18 22:00:39 GMT 2024","passed","Mon Nov 18 22:00:39 GMT 2024","","Create shell account →","200 OK: shell account with email",""
"","118","Duplicate Applet endpoint tests → 422 missing attribute (encryption)","","Mon Nov 18 21:56:00 GMT 2024","passed","Mon Nov 18 21:56:00 GMT 2024","","Duplicate Applet endpoint tests →","422 missing attribute (encryption)",""
"","222","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Get applet version changes","","Mon Nov 18 21:58:49 GMT 2024","passed","Mon Nov 18 21:58:49 GMT 2024","","Update Activity Item →","Get applet version changes",""
"","199","Activity Versions & Identifiers tests → Get Identifiers tests → 200 OK (empty list of identifiers)","","Mon Nov 18 21:54:14 GMT 2024","passed","Mon Nov 18 21:54:14 GMT 2024","","Get Identifiers tests →","200 OK (empty list of identifiers)",""
"","224","Shell account invitation scenario tests → Accept invitation by unregistered user → Verify invitation in list of invitations","","Mon Nov 18 22:01:12 GMT 2024","passed","Mon Nov 18 22:01:12 GMT 2024","","Accept invitation by unregistered user →","Verify invitation in list of invitations",""
"","659","Administration tests → Respondents tests → Invite new reviewer for a specific respondent tests → 200 OK (Manager can invite new reviewer for a specific respondent)","","Mon Nov 18 22:02:17 GMT 2024","passed","Mon Nov 18 22:02:17 GMT 2024","","Invite new reviewer for a specific respondent tests →","200 OK (Manager can invite new reviewer for a specific respondent)",""
"","115","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing startTime (periodicity type: ONCE) param","","Mon Nov 18 21:56:41 GMT 2024","passed","Mon Nov 18 21:56:41 GMT 2024","","422 Unprocessable Entity →","Update Event with missing startTime (periodicity type: ONCE) param",""
"","449","Workspace folder for different users tests → Manager is invited to the applet → Manager creates own folder in the same workspace Applet Owner and Manager add the same applet in their folders Get folders (manager)","","Mon Nov 18 22:04:19 GMT 2024","passed","Mon Nov 18 22:04:19 GMT 2024","","Applet Owner and Manager add the same applet in their folders","Get folders (manager)",""
"","193","Activity Assessment & Review CRUD tests → Get Assessment & Review tests → Get Assessment tests → 404 Not Found (Get Assessment of not existing Answer)","","Mon Nov 18 21:53:54 GMT 2024","passed","Mon Nov 18 21:53:54 GMT 2024","","Get Assessment tests →","404 Not Found (Get Assessment of not existing Answer)",""
"","112","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing endTime (periodicity type: ONCE) param","","Mon Nov 18 21:56:41 GMT 2024","passed","Mon Nov 18 21:56:41 GMT 2024","","422 Unprocessable Entity →","Update Event with missing endTime (periodicity type: ONCE) param",""
"","1705","Administration tests → Applets tests → Update Applet in workspace of Applet owner tests → 200 OK (Editor can update Applet)","","Mon Nov 18 22:02:21 GMT 2024","passed","Mon Nov 18 22:02:22 GMT 2024","","Update Applet in workspace of Applet owner tests →","200 OK (Editor can update Applet)",""
"","28","Applet versions endpoints tests → Get applet version changes → 401 Unauthorized","","Mon Nov 18 21:58:41 GMT 2024","passed","Mon Nov 18 21:58:41 GMT 2024","","Get applet version changes →","401 Unauthorized",""
"","197","Applets ""unique_name"" endpoint tests → 200 OK: unique name","","Mon Nov 18 21:58:35 GMT 2024","passed","Mon Nov 18 21:58:35 GMT 2024","","Applets ""unique_name"" endpoint tests →","200 OK: unique name",""
"","338","Invitations scenario tests → Re-send invitation flow → Invitor can see new invitation","","Mon Nov 18 22:00:03 GMT 2024","passed","Mon Nov 18 22:00:03 GMT 2024","","Re-send invitation flow →","Invitor can see new invitation",""
"","1214","Applet builder tests → Create applet → Positive tests → Multiple activity with multiple items in each","","Mon Nov 18 21:55:16 GMT 2024","passed","Mon Nov 18 21:55:17 GMT 2024","","Positive tests →","Multiple activity with multiple items in each",""
"","28","Workspaces endpoints tests → Workspaces created → Get workspace applet respondents → Negative tests → 401 Unauthorized","","Mon Nov 18 22:05:20 GMT 2024","passed","Mon Nov 18 22:05:20 GMT 2024","","Negative tests →","401 Unauthorized",""
"","30","Workspaces endpoints tests → Workspaces created → Pin user (manager) on workspace → 401 Unauthorized","","Mon Nov 18 22:05:28 GMT 2024","passed","Mon Nov 18 22:05:28 GMT 2024","","Pin user (manager) on workspace →","401 Unauthorized",""
"","410","Access link tests → Delete Access link tests → 404 (Delete already deleted Access link)","","Mon Nov 18 21:54:55 GMT 2024","passed","Mon Nov 18 21:54:55 GMT 2024","","Delete Access link tests →","404 (Delete already deleted Access link)",""
"","118","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity (Update Event type by params - activityId, flowId, respondentId)","","Mon Nov 18 21:56:39 GMT 2024","passed","Mon Nov 18 21:56:39 GMT 2024","","Update Applet Event tests →","422 Unprocessable Entity (Update Event type by params - activityId, flowId, respondentId)",""
"","230","Flow Versions & Identifiers tests → Get flow Identifiers tests → Get flow identifiers after answer submitting → 200 OK (Get flow identifiers)","","Mon Nov 18 21:54:07 GMT 2024","passed","Mon Nov 18 21:54:07 GMT 2024","","Get flow identifiers after answer submitting →","200 OK (Get flow identifiers)",""
"","203","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Get applet version by id","","Mon Nov 18 21:58:45 GMT 2024","passed","Mon Nov 18 21:58:45 GMT 2024","","Remove Activity Flow →","Get applet version by id",""
"","185","Invitations endpoints tests → Send invitation → Invitation Managers Send → 404 - Applet does not exist","","Mon Nov 18 22:00:34 GMT 2024","passed","Mon Nov 18 22:00:34 GMT 2024","","Invitation Managers Send →","404 - Applet does not exist",""
