"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Get Assessment & Review of updated activity tests → Switch to a new assessment version Get Assessment info after switching to a new assessment version","","Tue Dec 10 19:37:03 GMT 2024","passed","Tue Dec 10 19:37:03 GMT 2024","","Switch to a new assessment version","Get Assessment info after switching to a new assessment version",""
"","197","Administration tests → Transfer ownership of Applet tests → 403 Forbidden (Respondent can not transfer ownership)","","Tue Dec 10 19:45:28 GMT 2024","passed","Tue Dec 10 19:45:28 GMT 2024","","Transfer ownership of Applet tests →","403 Forbidden (Respondent can not transfer ownership)",""
"","200","Workspaces endpoints tests → Empty workspaces → Get workspace managers → 404 Not Found (non-existent ownerId)","","Tue Dec 10 19:48:28 GMT 2024","passed","Tue Dec 10 19:48:28 GMT 2024","","Get workspace managers →","404 Not Found (non-existent ownerId)",""
"","415","Workspace folder for different users tests → Manager is invited to the applet → Manager creates own folder in the same workspace Applet Owner and Manager add the same applet in their folders Get folders (manager)","","Tue Dec 10 19:47:47 GMT 2024","passed","Tue Dec 10 19:47:47 GMT 2024","","Applet Owner and Manager add the same applet in their folders","Get folders (manager)",""
"","240","Workspaces endpoints tests → Workspaces created → Get workspace applet managers → Second workspace second applet managers","","Tue Dec 10 19:48:51 GMT 2024","passed","Tue Dec 10 19:48:51 GMT 2024","","Get workspace applet managers →","Second workspace second applet managers",""
"","235","Get submit dates & exported Answers data tests → Get dates before Answer submit → 403 Forbidden (Get submit dates by respondent)","","Tue Dec 10 19:35:25 GMT 2024","passed","Tue Dec 10 19:35:25 GMT 2024","","Get dates before Answer submit →","403 Forbidden (Get submit dates by respondent)",""
"","25","Summary & Review activity flow tests → Get Summary activity flow tests → 401 Unauthorized (Get Summary activity flow with not existing token)","","Tue Dec 10 19:37:57 GMT 2024","passed","Tue Dec 10 19:37:57 GMT 2024","","Get Summary activity flow tests →","401 Unauthorized (Get Summary activity flow with not existing token)",""
"","240","Applet Library tests → Applet is added to the library → Get Library items list 200 OK (search by name)","","Tue Dec 10 19:38:05 GMT 2024","passed","Tue Dec 10 19:38:05 GMT 2024","","Get Library items list","200 OK (search by name)",""
"","189","Access link tests → Create Access link tests → 404 Not Found (Create Access link with not existing applet)","","Tue Dec 10 19:38:12 GMT 2024","passed","Tue Dec 10 19:38:12 GMT 2024","","Create Access link tests →","404 Not Found (Create Access link with not existing applet)",""
"","265","""Subjects"" endpoints CRUD tests → Update subjects 403: Forbidden","","Tue Dec 10 19:46:25 GMT 2024","passed","Tue Dec 10 19:46:25 GMT 2024","","Update subjects","403: Forbidden",""
"","276","Flow Versions & Identifiers tests → Get flow Identifiers tests → Get flow identifiers after answer submitting → 200 OK (Get flow identifiers)","","Tue Dec 10 19:37:24 GMT 2024","passed","Tue Dec 10 19:37:24 GMT 2024","","Get flow identifiers after answer submitting →","200 OK (Get flow identifiers)",""
