"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Applet versions endpoints tests → ""after all"" hook in ""Applet versions endpoints tests →""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Applet versions endpoints tests →","""after all"" hook in ""Applet versions endpoints tests →""",""
"","5","Applet Events scenario tests → ""before all"" hook for ""End-To-End scenario (Individual activity Always Available Event)""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Applet Events scenario tests →","""before all"" hook for ""End-To-End scenario (Individual activity Always Available Event)""",""
"","3","""Subjects"" endpoints CRUD tests → ""before all"" hook in """"Subjects"" endpoints CRUD tests →""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","""Subjects"" endpoints CRUD tests →","""before all"" hook in """"Subjects"" endpoints CRUD tests →""",""
"","2","Applets GET ""base info"" endpoint tests → ""before all"" hook for ""200 OK""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Applets GET ""base info"" endpoint tests →","""before all"" hook for ""200 OK""",""
"","1","Logs upload/download tests → ""before all"" hook in ""Logs upload/download tests →""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Logs upload/download tests →","""before all"" hook in ""Logs upload/download tests →""",""
"","1","Applet public links tests → Accept Public invitation tests → ""after all"" hook for ""200 OK (any other user can also accept public link invitation)""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Accept Public invitation tests →","""after all"" hook for ""200 OK (any other user can also accept public link invitation)""",""
"","3","Workspaces managers access tests → ""before all"" hook in ""Workspaces managers access tests →""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Workspaces managers access tests →","""before all"" hook in ""Workspaces managers access tests →""",""
"","0","Update Password tests → ""after each"" hook for ""200 Update password""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Update Password tests →","""after each"" hook for ""200 Update password""",""
"","1","Administration tests → ""after all"" hook in ""Administration tests →""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Administration tests →","""after all"" hook in ""Administration tests →""",""
"","2","Answer Notes tests → ""before all"" hook in ""Answer Notes tests →""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Answer Notes tests →","""before all"" hook in ""Answer Notes tests →""",""
"","0","Files upload/download directly to S3 bucket tests → ""after all"" hook in ""Files upload/download directly to S3 bucket tests →""","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","Files upload/download directly to S3 bucket tests →","""after all"" hook in ""Files upload/download directly to S3 bucket tests →""",""
"","0","Create User tests → 422 Unprocessable Entity Create user with missing lastName param","","Thu Apr 10 01:29:47 GMT 2025","failed","Thu Apr 10 01:29:47 GMT 2025","","422 Unprocessable Entity","Create user with missing lastName param",""
