"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 01 05:33:49 GMT 2024","Thu Aug 01 05:33:49 GMT 2024","477","","View General calendar in workspace of Applet owner tests →","","200 OK (Coordinator can view General calendar)","","Administration tests → Applets tests → View General calendar in workspace of Applet owner tests → 200 OK (Coordinator can view General calendar)",""
"passed","Thu Aug 01 05:19:02 GMT 2024","Thu Aug 01 05:19:02 GMT 2024","876","","Edit Note tests →","","200 OK (Note can be updated successfully) & Applet owner retrieves Note list with update Note","","Answer Notes tests → Edit Note tests → 200 OK (Note can be updated successfully) & Applet owner retrieves Note list with update Note",""
"passed","Thu Aug 01 05:37:31 GMT 2024","Thu Aug 01 05:37:31 GMT 2024","332","","Test for filters (query params) →","","Ordering","","Workspaces endpoints tests → Workspaces created → Get workspace Applets → Test for filters (query params) → Ordering",""
"passed","Thu Aug 01 05:37:54 GMT 2024","Thu Aug 01 05:37:54 GMT 2024","383","","Get workspace applet respondent by id →","","404 not found (invalid respondent id)","","Workspaces endpoints tests → Workspaces created → Get workspace applet respondent by id → 404 not found (invalid respondent id)",""
"passed","Thu Aug 01 05:30:51 GMT 2024","Thu Aug 01 05:30:51 GMT 2024","326","","Re-send invitation flow →","","Invited user can't accept old invitation","","Invitations scenario tests → Re-send invitation flow → Invited user can't accept old invitation",""
"passed","Thu Aug 01 05:36:40 GMT 2024","Thu Aug 01 05:36:40 GMT 2024","791","","Set workspace managers applet access list →","","200 OK (grant reviewer's permissions for coordinator)","","Workspaces managers access tests → Set workspace managers applet access list → 200 OK (grant reviewer's permissions for coordinator)",""
"passed","Thu Aug 01 05:37:42 GMT 2024","Thu Aug 01 05:37:42 GMT 2024","399","","Test for filters (query params) →","","Limit","","Workspaces endpoints tests → Workspaces created → Get workspace managers → Test for filters (query params) → Limit",""
"passed","Thu Aug 01 05:30:57 GMT 2024","Thu Aug 01 05:30:57 GMT 2024","381","","Invite unregistered user flow →","","New user can view invitation after registration","","Invitations scenario tests → Invite unregistered user flow → New user can view invitation after registration",""
"failed","Thu Aug 01 05:24:14 GMT 2024","Thu Aug 01 05:24:15 GMT 2024","1689","","Update applet →","","Unhide all items","","Applet builder tests → Update applet → Unhide all items",""
"passed","Thu Aug 01 05:33:38 GMT 2024","Thu Aug 01 05:33:38 GMT 2024","323","","Invite new reviewer for a specific respondent tests →","","403 Forbidden (Editor can NOT invite new reviewer for a specific respondent)","","Administration tests → Respondents tests → Invite new reviewer for a specific respondent tests → 403 Forbidden (Editor can NOT invite new reviewer for a specific respondent)",""
"passed","Thu Aug 01 05:31:12 GMT 2024","Thu Aug 01 05:31:12 GMT 2024","118","","Get invitation by key →","","401 Unauthorized (invalid token)","","Invitations endpoints tests → Get invitations → No Invitations created → Get invitation by key → 401 Unauthorized (invalid token)",""
"passed","Thu Aug 01 05:25:55 GMT 2024","Thu Aug 01 05:25:55 GMT 2024","524","","Create cross-day events tests →","","201 Created (Cross-day Event with ONCE periodicity type and availability range: 00:01:00-00:00:00)","","Applet Events CRUD tests → Create cross-day events tests → 201 Created (Cross-day Event with ONCE periodicity type and availability range: 00:01:00-00:00:00)",""
