"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 21:16:56 GMT 2024","Thu Jul 11 21:16:56 GMT 2024","375","","Invite new respondent tests →","","200 OK (Coordinator can invite new respondent)","","Administration tests → Respondents tests → Invite new respondent tests → 200 OK (Coordinator can invite new respondent)",""
"passed","Thu Jul 11 21:14:26 GMT 2024","Thu Jul 11 21:14:26 GMT 2024","23","","Media URL","","401 Unauthorized","","Files upload/download directly to S3 bucket tests → Generate presigned links EPs negative tests Media URL 401 Unauthorized",""
"passed","Thu Jul 11 21:15:16 GMT 2024","Thu Jul 11 21:15:16 GMT 2024","252","","Create shell account →","","200 OK: shell account with nickname","","Invitations endpoints tests → Create shell account → 200 OK: shell account with nickname",""
"failed","Thu Jul 11 21:08:12 GMT 2024","Thu Jul 11 21:08:12 GMT 2024","871","","Positive tests →","","Applet with maximum activity and items settings","","Applet builder tests → Create applet → Positive tests → Applet with maximum activity and items settings",""
"passed","Thu Jul 11 21:09:42 GMT 2024","Thu Jul 11 21:09:42 GMT 2024","130","","422 Unprocessable Entity →","","Update Event with missing startTime (periodicity type: MONTHLY) param","","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing startTime (periodicity type: MONTHLY) param",""
"failed","Thu Jul 11 21:08:34 GMT 2024","Thu Jul 11 21:08:36 GMT 2024","2548","","Update applet →","","Remove activity","","Applet builder tests → Update applet → Remove activity",""
"passed","Thu Jul 11 21:09:22 GMT 2024","Thu Jul 11 21:09:22 GMT 2024","430","","Get general and individual Applet Events →","","200 OK (without respondentId in the query)","","Applet Events CRUD tests → Get general and individual Applet Events → 200 OK (without respondentId in the query)",""
"passed","Thu Jul 11 21:11:40 GMT 2024","Thu Jul 11 21:11:40 GMT 2024","320","","Get applet version changes →","","200 Ok (Initial version)","","Applet versions endpoints tests → Get applet version changes → 200 Ok (Initial version)",""
"passed","Thu Jul 11 21:19:41 GMT 2024","Thu Jul 11 21:19:41 GMT 2024","40","","Get workspace roles list →","","401 Unauthorized","","Workspaces managers access tests → Get workspace roles list → 401 Unauthorized",""
"passed","Thu Jul 11 21:20:12 GMT 2024","Thu Jul 11 21:20:12 GMT 2024","268","","Get workspace by ownerId →","","200 OK","","Workspaces endpoints tests → Workspaces created → Get workspace by ownerId → 200 OK",""
"passed","Thu Jul 11 21:19:38 GMT 2024","Thu Jul 11 21:19:38 GMT 2024","799","","Remove manager access →","","200 OK","","Workspaces managers access tests → Remove manager access → 200 OK",""
"passed","Thu Jul 11 21:18:14 GMT 2024","Thu Jul 11 21:18:14 GMT 2024","202","","Recover password tests →","","201 Recover password","","User Password tests → Recover password tests → 201 Recover password",""
"failed","Thu Jul 11 21:04:50 GMT 2024","Thu Jul 11 21:04:52 GMT 2024","2282","","Create Answers for different item types tests →","","All web-app items","","Create Answers for different item types tests → All web-app items",""
"passed","Thu Jul 11 21:06:38 GMT 2024","Thu Jul 11 21:06:38 GMT 2024","327","","Delete Assessment tests →","","404 Not Found (Delete submitted assessment for not existing answer)","","Activity Assessment & Review CRUD tests → Delete Assessment tests → 404 Not Found (Delete submitted assessment for not existing answer)",""
"passed","Thu Jul 11 21:16:54 GMT 2024","Thu Jul 11 21:16:54 GMT 2024","257","","Change organizer roles/permissions tests →","","200 OK (Manager can grant reviewer's permissions to coordinator)","","Administration tests → Organizers tests → Change organizer roles/permissions tests → 200 OK (Manager can grant reviewer's permissions to coordinator)",""
"failed","Thu Jul 11 21:07:01 GMT 2024","Thu Jul 11 21:07:01 GMT 2024","234","","Multiinformant assessment validate tests →","","400: Bad request","","Multiinformant assessment validate tests → 400: Bad request",""
"passed","Thu Jul 11 21:05:25 GMT 2024","Thu Jul 11 21:05:25 GMT 2024","276","","Retrieve latest report negative tests →","","404 Not Found (Get summary latest report with not existing Subject)","","Retrieve latest report negative tests → 404 Not Found (Get summary latest report with not existing Subject)",""
"passed","Thu Jul 11 21:19:57 GMT 2024","Thu Jul 11 21:19:57 GMT 2024","39","","Get workspace managers →","","401 Unauthorized","","Workspaces endpoints tests → Empty workspaces → Get workspace managers → 401 Unauthorized",""
"passed","Thu Jul 11 21:09:29 GMT 2024","Thu Jul 11 21:09:29 GMT 2024","20","","Delete all general scheduled Applet Events tests →","","401 Unauthorized (Delete all general scheduled Events with not existing appletOwnerToken)","","Applet Events CRUD tests → Delete all general scheduled Applet Events tests → 401 Unauthorized (Delete all general scheduled Events with not existing appletOwnerToken)",""
"passed","Thu Jul 11 21:15:25 GMT 2024","Thu Jul 11 21:15:25 GMT 2024","22","","Accept Public invitation tests →","","401 Unauthorized (Accept invitation with not existing token)","","Applet public links tests → Accept Public invitation tests → 401 Unauthorized (Accept invitation with not existing token)",""
"passed","Thu Jul 11 21:19:57 GMT 2024","Thu Jul 11 21:19:57 GMT 2024","208","","Get workspace managers →","","404 Not Found (non-existent ownerId)","","Workspaces endpoints tests → Empty workspaces → Get workspace managers → 404 Not Found (non-existent ownerId)",""
"passed","Thu Jul 11 21:04:12 GMT 2024","Thu Jul 11 21:04:12 GMT 2024","20","","Delete Note tests →","","401 Unauthorized (Delete Note with not existing token)","","Answer Notes tests → Delete Note tests → 401 Unauthorized (Delete Note with not existing token)",""
"passed","Thu Jul 11 21:14:33 GMT 2024","Thu Jul 11 21:14:33 GMT 2024","278","","Decline invitation positive flow →","","Invited user can't see invitation anymore","","Invitations scenario tests → Decline invitation positive flow → Invited user can't see invitation anymore",""
"passed","Thu Jul 11 21:09:42 GMT 2024","Thu Jul 11 21:09:42 GMT 2024","148","","422 Unprocessable Entity →","","Missing oneTimeCompletion (periodicity type: ALWAYS)","","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Missing oneTimeCompletion (periodicity type: ALWAYS)",""
"passed","Thu Jul 11 21:09:16 GMT 2024","Thu Jul 11 21:09:16 GMT 2024","386","","Create Events tests →","","400 Bad Request (Create general Always Available activity Event)","","Applet Events CRUD tests → Create Events tests → 400 Bad Request (Create general Always Available activity Event)",""
"passed","Thu Jul 11 21:09:19 GMT 2024","Thu Jul 11 21:09:19 GMT 2024","187","","422 Unprocessable Entity →","","Create Event with missing accessBeforeSchedule (periodicity type: MONTHLY) param","","Applet Events CRUD tests → Create Events tests → 422 Unprocessable Entity → Create Event with missing accessBeforeSchedule (periodicity type: MONTHLY) param",""
"passed","Thu Jul 11 21:14:56 GMT 2024","Thu Jul 11 21:14:56 GMT 2024","296","","Get invitations for invitor →","","200 OK (non-empty list)","","Invitations endpoints tests → Get invitations → Invitation created → Get invitations for invitor → 200 OK (non-empty list)",""
"passed","Thu Jul 11 21:14:57 GMT 2024","Thu Jul 11 21:14:57 GMT 2024","145","","Accept invitation →","","422 - invalid invitation key","","Invitations endpoints tests → Accept invitation → 422 - invalid invitation key",""
"passed","Thu Jul 11 21:10:38 GMT 2024","Thu Jul 11 21:10:38 GMT 2024","99","","Get public applet by key →","","404: invalid key","","Applet public access tests → Get public applet by key → 404: invalid key",""
"passed","Thu Jul 11 21:18:24 GMT 2024","Thu Jul 11 21:18:24 GMT 2024","23","","422 Unprocessable Entity","","Approve user password recovery with missing email param","","User Password tests → Password recovery approve tests → 422 Unprocessable Entity Approve user password recovery with missing email param",""
"passed","Thu Jul 11 21:06:47 GMT 2024","Thu Jul 11 21:06:47 GMT 2024","20","","Get flow Identifiers tests →","","401 Unauthorized (Get flow identifiers with not existing token)","","Flow Versions & Identifiers tests → Get flow Identifiers tests → 401 Unauthorized (Get flow identifiers with not existing token)",""
"passed","Thu Jul 11 21:14:29 GMT 2024","Thu Jul 11 21:14:29 GMT 2024","299","","Accept invitation positive flow →","","Invitation can't be sent again after it acceptance by the user","","Invitations scenario tests → Accept invitation positive flow → Invitation can't be sent again after it acceptance by the user",""
"passed","Thu Jul 11 21:20:31 GMT 2024","Thu Jul 11 21:20:31 GMT 2024","28","","Pin user (manager) on workspace →","","401 Unauthorized","","Workspaces endpoints tests → Workspaces created → Pin user (manager) on workspace → 401 Unauthorized",""
"passed","Thu Jul 11 21:20:34 GMT 2024","Thu Jul 11 21:20:34 GMT 2024","22","","Update workspace applet respondent →","","401 Unauthorized","","Workspaces endpoints tests → Workspaces created → Update workspace applet respondent → 401 Unauthorized",""
"passed","Thu Jul 11 21:06:05 GMT 2024","Thu Jul 11 21:06:05 GMT 2024","140","","422 Unprocessable Entity →","","Create Answer with missing appletId param","","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Create Answer tests → 422 Unprocessable Entity → Create Answer with missing appletId param",""
"passed","Thu Jul 11 21:19:00 GMT 2024","Thu Jul 11 21:19:00 GMT 2024","26","","Get Folders →","","401 Unauthorized (invalid token)","","""Workspace Folders"" endpoints tests → Workspace is created → Get Folders → 401 Unauthorized (invalid token)",""
"passed","Thu Jul 11 21:18:39 GMT 2024","Thu Jul 11 21:18:39 GMT 2024","679","","User Events scenario tests →","","Reviewer & Manager should get general scheduled activity Event & general always available flow Events from the 1st Applet","","User Events scenario tests → Reviewer & Manager should get general scheduled activity Event & general always available flow Events from the 1st Applet",""
"passed","Thu Jul 11 21:15:16 GMT 2024","Thu Jul 11 21:15:16 GMT 2024","125","","Create shell account →","","422: Missing attribute","","Invitations endpoints tests → Create shell account → 422: Missing attribute",""
"passed","Thu Jul 11 21:15:22 GMT 2024","Thu Jul 11 21:15:22 GMT 2024","39","","Get public link tests →","","422 Get public link by invalid Id of created Applet","","Applet public links tests → Get public link tests → 422 Get public link by invalid Id of created Applet",""
"passed","Thu Jul 11 21:20:27 GMT 2024","Thu Jul 11 21:20:27 GMT 2024","148","","Get managers priority role →","","422 Invalid query params","","Workspaces endpoints tests → Workspaces created → Get managers priority role → 422 Invalid query params",""
"passed","Thu Jul 11 21:10:05 GMT 2024","Thu Jul 11 21:10:08 GMT 2024","3927","","Applet Events scenario tests →","","End-To-End scenario (Individual scheduled flow Event)","","Applet Events scenario tests → End-To-End scenario (Individual scheduled flow Event)",""
"passed","Thu Jul 11 21:15:15 GMT 2024","Thu Jul 11 21:15:15 GMT 2024","161","","422 Missing attributes","","Missing email","","Invitations endpoints tests → Send invitation → Invitation Managers Send → 422 Missing attributes Missing email",""
"passed","Thu Jul 11 21:06:34 GMT 2024","Thu Jul 11 21:06:34 GMT 2024","242","","Get Reviews tests →","","200 OK (no Review data)","","Activity Assessment & Review CRUD tests → Get Assessment & Review tests → Get Reviews tests → 200 OK (no Review data)",""
"passed","Thu Jul 11 21:04:50 GMT 2024","Thu Jul 11 21:04:52 GMT 2024","2414","","Create Answers for different item types tests →","","All simple mobile items","","Create Answers for different item types tests → All simple mobile items",""
"passed","Thu Jul 11 21:20:32 GMT 2024","Thu Jul 11 21:20:32 GMT 2024","20","","Get workspace applet respondent by id →","","401 Unauthorized","","Workspaces endpoints tests → Workspaces created → Get workspace applet respondent by id → 401 Unauthorized",""
"passed","Thu Jul 11 21:11:40 GMT 2024","Thu Jul 11 21:11:40 GMT 2024","248","","Get applet version changes →","","404 (incorrect versionId)","","Applet versions endpoints tests → Get applet version changes → 404 (incorrect versionId)",""
"passed","Thu Jul 11 21:17:56 GMT 2024","Thu Jul 11 21:17:56 GMT 2024","485","","Create Theme →","","400 Bad Request (duplicate name)","","""Themes"" endpoints tests → Create Theme → 400 Bad Request (duplicate name)",""
"failed","Thu Jul 11 21:12:46 GMT 2024","Thu Jul 11 21:12:56 GMT 2024","10529","","Check answer (file) uploaded →","","200 OK (multiple files, uploaded = false)","","Files upload/download tests → Upload/Download answers (applet files) → Check answer (file) uploaded → 200 OK (multiple files, uploaded = false)",""
"passed","Thu Jul 11 21:07:45 GMT 2024","Thu Jul 11 21:07:45 GMT 2024","39","","Get Access link tests →","","401 Unauthorized (Get Access link with invalid token)","","Access link tests → Get Access link tests → 401 Unauthorized (Get Access link with invalid token)",""
"passed","Thu Jul 11 21:10:42 GMT 2024","Thu Jul 11 21:10:42 GMT 2024","558","","Applets ""report configuration"" endpoint tests →","","200 OK","","Applets ""report configuration"" endpoint tests → 200 OK",""
"passed","Thu Jul 11 21:20:22 GMT 2024","Thu Jul 11 21:20:22 GMT 2024","343","","Get workspace applet respondents →","","First workspace applet respondents","","Workspaces endpoints tests → Workspaces created → Get workspace applet respondents → First workspace applet respondents",""
"passed","Thu Jul 11 21:16:15 GMT 2024","Thu Jul 11 21:16:15 GMT 2024","612","","Send shell account invitation to an existing respondent →","","Verify 2 or more shell accounts invitations can be sent to the same email","","Shell account invitation scenario tests → Send shell account invitation to an existing respondent → Verify 2 or more shell accounts invitations can be sent to the same email",""
"passed","Thu Jul 11 21:09:55 GMT 2024","Thu Jul 11 21:09:56 GMT 2024","1330","","Create cross-day events tests →","","422 (Cross-day Event with ONCE periodicity type and availability range: 00:00:00-00:00:00)","","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with ONCE periodicity type and availability range: 00:00:00-00:00:00)",""
"passed","Thu Jul 11 21:15:12 GMT 2024","Thu Jul 11 21:15:12 GMT 2024","300","","200 OK (send to unregistered user)","","Role = coordinator","","Invitations endpoints tests → Send invitation → Invitation Managers Send → 200 OK (send to unregistered user) Role = coordinator",""
"passed","Thu Jul 11 21:07:38 GMT 2024","Thu Jul 11 21:07:38 GMT 2024","147","","Check Library item name →","","422 missing attribute (name)","","Applet Library tests → Applet is added to the library → Check Library item name → 422 missing attribute (name)",""
"passed","Thu Jul 11 21:06:09 GMT 2024","Thu Jul 11 21:06:09 GMT 2024","22","","Get activity answers list & Answers of respondent tests →","","401 Unauthorized (Get Answer with not existing token)","","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get activity answers list & Answers of respondent tests → 401 Unauthorized (Get Answer with not existing token)",""
"passed","Thu Jul 11 21:17:19 GMT 2024","Thu Jul 11 21:17:19 GMT 2024","415","","Perform activities tests →","","200 OK (Reviewer can submit answers)","","Administration tests → Perform activities tests → 200 OK (Reviewer can submit answers)",""
"passed","Thu Jul 11 21:17:48 GMT 2024","Thu Jul 11 21:17:48 GMT 2024","343","","Get subjects","","404: Not Found","","""Subjects"" endpoints CRUD tests → Get subjects 404: Not Found",""
"passed","Thu Jul 11 21:09:55 GMT 2024","Thu Jul 11 21:09:55 GMT 2024","263","","Create cross-day events tests →","","422 (Cross-day Event with WEEKDAYS periodicity type and availability range: 23:59:00-23:59:00)","","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with WEEKDAYS periodicity type and availability range: 23:59:00-23:59:00)",""
"passed","Thu Jul 11 21:17:48 GMT 2024","Thu Jul 11 21:17:48 GMT 2024","274","","Get subjects","","200 OK: shell account","","""Subjects"" endpoints CRUD tests → Get subjects 200 OK: shell account",""
"passed","Thu Jul 11 21:19:00 GMT 2024","Thu Jul 11 21:19:00 GMT 2024","20","","Create Folder →","","401 Unauthorized (invalid token)","","""Workspace Folders"" endpoints tests → Workspace is created → Create Folder → 401 Unauthorized (invalid token)",""
"passed","Thu Jul 11 21:19:03 GMT 2024","Thu Jul 11 21:19:03 GMT 2024","147","","Delete Folder →","","404 Not Found (non-existent folder)","","""Workspace Folders"" endpoints tests → Workspace is created → Delete Folder → 404 Not Found (non-existent folder)",""
"passed","Thu Jul 11 21:18:05 GMT 2024","Thu Jul 11 21:18:05 GMT 2024","272","","Delete User tests →","","401 Unauthorized (Delete User with not existing token)","","Delete User tests → 401 Unauthorized (Delete User with not existing token)",""
"passed","Thu Jul 11 21:10:42 GMT 2024","Thu Jul 11 21:10:42 GMT 2024","299","","Applets ""report configuration"" endpoint tests →","","404 Not Found (invalid applet id)","","Applets ""report configuration"" endpoint tests → 404 Not Found (invalid applet id)",""
"passed","Thu Jul 11 21:09:55 GMT 2024","Thu Jul 11 21:09:55 GMT 2024","373","","Create cross-day events tests →","","201 Created (Cross-day Event with DAILY periodicity type and availability range: 00:01:00-00:00:00)","","Applet Events CRUD tests → Create cross-day events tests → 201 Created (Cross-day Event with DAILY periodicity type and availability range: 00:01:00-00:00:00)",""
"passed","Thu Jul 11 21:18:01 GMT 2024","Thu Jul 11 21:18:01 GMT 2024","111","","422 Unprocessable Entity","","Create user with empty lastName param","","Create User tests → 422 Unprocessable Entity Create user with empty lastName param",""
"passed","Thu Jul 11 21:20:21 GMT 2024","Thu Jul 11 21:20:21 GMT 2024","346","","Test for filters (query params) →","","Search by secretUserId","","Workspaces endpoints tests → Workspaces created → Get workspace respondents → Test for filters (query params) → Search by secretUserId",""
"passed","Thu Jul 11 21:09:11 GMT 2024","Thu Jul 11 21:09:11 GMT 2024","657","","Remove individual scheduled user Events scenario tests →","","Fourth respondent should have general Always Available activity/flow Events after removal of individual scheduled flow Event","","Delete and remove individual Events scenario tests → Remove individual scheduled user Events scenario tests → Fourth respondent should have general Always Available activity/flow Events after removal of individual scheduled flow Event",""
"passed","Thu Jul 11 21:07:44 GMT 2024","Thu Jul 11 21:07:44 GMT 2024","20","","Create Access link tests →","","401 Unauthorized (Create Access link with invalid token)","","Access link tests → Create Access link tests → 401 Unauthorized (Create Access link with invalid token)",""
"passed","Thu Jul 11 21:15:06 GMT 2024","Thu Jul 11 21:15:06 GMT 2024","105","","422 Missing attributes","","Missing lastName","","Invitations endpoints tests → Send invitation → Invitation Respondent Send → 422 Missing attributes Missing lastName",""
"passed","Thu Jul 11 21:15:07 GMT 2024","Thu Jul 11 21:15:07 GMT 2024","372","","Invitation Reviewer Send →","","200 OK (send to existing user)","","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 200 OK (send to existing user)",""
"passed","Thu Jul 11 21:08:54 GMT 2024","Thu Jul 11 21:08:54 GMT 2024","127","","Duplicate Applet endpoint tests →","","422 missing attribute (displayName)","","Duplicate Applet endpoint tests → 422 missing attribute (displayName)",""
"passed","Thu Jul 11 21:11:58 GMT 2024","Thu Jul 11 21:11:58 GMT 2024","20","","Refresh Token →","","422 Unprocessable Entity (missing attribute)","","""Authentication"" endpoints tests → Refresh Token → 422 Unprocessable Entity (missing attribute)",""
"failed","Thu Jul 11 21:04:45 GMT 2024","Thu Jul 11 21:04:45 GMT 2024","347","","Get exported data & dates after answer submit →","","200 OK (Get exported data by applet owner)","","Get submit dates & exported Answers data tests → Get exported data & dates after answer submit → 200 OK (Get exported data by applet owner)",""
"passed","Thu Jul 11 21:06:09 GMT 2024","Thu Jul 11 21:06:09 GMT 2024","1","","Get activity answers list & Answers of respondent tests →","","200 OK (Applet owner should be able to get activity answers list)","","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get activity answers list & Answers of respondent tests → 200 OK (Applet owner should be able to get activity answers list)",""
"passed","Thu Jul 11 21:17:12 GMT 2024","Thu Jul 11 21:17:12 GMT 2024","422","","View General calendar in workspace of Applet owner tests →","","403 Forbidden (Editor can NOT view General calendar)","","Administration tests → Applets tests → View General calendar in workspace of Applet owner tests → 403 Forbidden (Editor can NOT view General calendar)",""
"passed","Thu Jul 11 21:18:00 GMT 2024","Thu Jul 11 21:18:00 GMT 2024","24","","Create User tests →","","422 Unprocessable Entity (Create user with invalid email format)","","Create User tests → 422 Unprocessable Entity (Create user with invalid email format)",""
"passed","Thu Jul 11 21:04:45 GMT 2024","Thu Jul 11 21:04:45 GMT 2024","286","","Get exported data & dates after answer submit →","","200 OK: empty list (Get exported data by reviewer with no assigned respondents)","","Get submit dates & exported Answers data tests → Get exported data & dates after answer submit → 200 OK: empty list (Get exported data by reviewer with no assigned respondents)",""
"passed","Thu Jul 11 21:20:27 GMT 2024","Thu Jul 11 21:20:27 GMT 2024","20","","Get managers priority role →","","401 Unauthorized","","Workspaces endpoints tests → Workspaces created → Get managers priority role → 401 Unauthorized",""
"passed","Thu Jul 11 21:04:12 GMT 2024","Thu Jul 11 21:04:12 GMT 2024","604","","Delete Note tests →","","204 No Content (Note can be deleted successfully) & Applet owner retrieves empty Note list","","Answer Notes tests → Delete Note tests → 204 No Content (Note can be deleted successfully) & Applet owner retrieves empty Note list",""
"passed","Thu Jul 11 21:15:05 GMT 2024","Thu Jul 11 21:15:05 GMT 2024","289","","200 OK (send to unregistered user)","","With tag","","Invitations endpoints tests → Send invitation → Invitation Respondent Send → 200 OK (send to unregistered user) With tag",""
"passed","Thu Jul 11 21:12:09 GMT 2024","Thu Jul 11 21:12:09 GMT 2024","19","","Upload File →","","401 Unauthorized","","Files upload/download tests → Upload File → 401 Unauthorized",""
"passed","Thu Jul 11 21:09:32 GMT 2024","Thu Jul 11 21:09:32 GMT 2024","285","","Get Applet Event by Id tests →","","200 OK (Get individual scheduled activity Event by id)","","Applet Events CRUD tests → Get Applet Event by Id tests → 200 OK (Get individual scheduled activity Event by id)",""
"passed","Thu Jul 11 21:10:42 GMT 2024","Thu Jul 11 21:10:42 GMT 2024","22","","Applets ""report configuration"" endpoint tests →","","401 Unauthorized","","Applets ""report configuration"" endpoint tests → 401 Unauthorized",""
"passed","Thu Jul 11 21:20:13 GMT 2024","Thu Jul 11 21:20:13 GMT 2024","309","","Get workspace Applets →","","Respondent gets own applets","","Workspaces endpoints tests → Workspaces created → Get workspace Applets → Respondent gets own applets",""
"passed","Thu Jul 11 21:19:34 GMT 2024","Thu Jul 11 21:19:34 GMT 2024","668","","Set workspace managers applet access list →","","200 OK (grant manager's permissions for reviewer)","","Workspaces managers access tests → Set workspace managers applet access list → 200 OK (grant manager's permissions for reviewer)",""
"failed","Thu Jul 11 21:13:12 GMT 2024","Thu Jul 11 21:13:22 GMT 2024","10822","","Upload Logs →","","200 OK","","Logs upload/download tests → Upload Logs → 200 OK",""
"passed","Thu Jul 11 21:16:47 GMT 2024","Thu Jul 11 21:16:48 GMT 2024","1015","","Invite new organizer tests →","","403 Forbidden (Respondent can NOT invite manager, coordinator, editor, reviewer)","","Administration tests → Organizers tests → Invite new organizer tests → 403 Forbidden (Respondent can NOT invite manager, coordinator, editor, reviewer)",""
"passed","Thu Jul 11 21:15:50 GMT 2024","Thu Jul 11 21:15:51 GMT 2024","1510","","Accept invitation by unregistered user →","","New user registers in the app","","Shell account invitation scenario tests → Accept invitation by unregistered user → New user registers in the app",""
"passed","Thu Jul 11 21:04:50 GMT 2024","Thu Jul 11 21:04:52 GMT 2024","2386","","Create Answers for different item types tests →","","All rows items","","Create Answers for different item types tests → All rows items",""
"passed","Thu Jul 11 21:20:24 GMT 2024","Thu Jul 11 21:20:24 GMT 2024","308","","Test for filters (query params) →","","Limit","","Workspaces endpoints tests → Workspaces created → Get workspace managers → Test for filters (query params) → Limit",""
"passed","Thu Jul 11 21:15:25 GMT 2024","Thu Jul 11 21:15:25 GMT 2024","747","","Accept Public invitation tests →","","404 Not found (Accept Public Invitation of deleted Applet)","","Applet public links tests → Accept Public invitation tests → 404 Not found (Accept Public Invitation of deleted Applet)",""
"passed","Thu Jul 11 21:17:56 GMT 2024","Thu Jul 11 21:17:56 GMT 2024","25","","Create Theme →","","401 Unauthorized (invalid token)","","""Themes"" endpoints tests → Create Theme → 401 Unauthorized (invalid token)",""
"passed","Thu Jul 11 21:11:47 GMT 2024","Thu Jul 11 21:11:47 GMT 2024","282","","Add Activity Item →","","Get applet version changes","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Get applet version changes",""
"passed","Thu Jul 11 21:20:12 GMT 2024","Thu Jul 11 21:20:12 GMT 2024","23","","Get workspace by ownerId →","","401 Unauthorized","","Workspaces endpoints tests → Workspaces created → Get workspace by ownerId → 401 Unauthorized",""
"passed","Thu Jul 11 21:15:07 GMT 2024","Thu Jul 11 21:15:07 GMT 2024","213","","Invitation Reviewer Send →","","404 - Applet does not exist","","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 404 - Applet does not exist",""
"passed","Thu Jul 11 21:19:04 GMT 2024","Thu Jul 11 21:19:04 GMT 2024","20","","Pin Folder →","","401 Unauthorized (invalid token)","","""Workspace Folders"" endpoints tests → Workspace is created → Pin/Unpin Folder → Pin Folder → 401 Unauthorized (invalid token)",""
"passed","Thu Jul 11 21:15:50 GMT 2024","Thu Jul 11 21:15:50 GMT 2024","254","","Accept invitation by unregistered user →","","New user can see the applet","","Shell account invitation scenario tests → Accept invitation by unregistered user → New user can see the applet",""
"passed","Thu Jul 11 21:10:05 GMT 2024","Thu Jul 11 21:10:08 GMT 2024","3702","","Applet Events scenario tests →","","End-To-End scenario (Individual scheduled activity Event)","","Applet Events scenario tests → End-To-End scenario (Individual scheduled activity Event)",""
"passed","Thu Jul 11 21:18:01 GMT 2024","Thu Jul 11 21:18:01 GMT 2024","28","","422 Unprocessable Entity","","Create user with missing password param","","Create User tests → 422 Unprocessable Entity Create user with missing password param",""
"passed","Thu Jul 11 21:10:38 GMT 2024","Thu Jul 11 21:10:38 GMT 2024","117","","Get public activities by key →","","404: invalid key","","Applet public access tests → Get public activities by key → 404: invalid key",""
"passed","Thu Jul 11 21:15:12 GMT 2024","Thu Jul 11 21:15:12 GMT 2024","300","","200 OK (send to unregistered user)","","All properties, language: en","","Invitations endpoints tests → Send invitation → Invitation Managers Send → 200 OK (send to unregistered user) All properties, language: en",""
"passed","Thu Jul 11 21:09:49 GMT 2024","Thu Jul 11 21:09:49 GMT 2024","248","","Delete individual scheduled Applet Events negative tests →","","404 Not Found (Delete scheduled Events of not existing user)","","Applet Events CRUD tests → Delete individual scheduled Applet Events negative tests → 404 Not Found (Delete scheduled Events of not existing user)",""
"passed","Thu Jul 11 21:11:39 GMT 2024","Thu Jul 11 21:11:39 GMT 2024","251","","Get applet version by id →","","404 (incorrect appletId)","","Applet versions endpoints tests → Get applet version by id → 404 (incorrect appletId)",""
