"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 02:06:09 GMT 2024","Sat Sep 21 02:06:09 GMT 2024","273","","Get flow submissions list & Flow answers of respondent tests →","","404 Not Found (Get flow submissions list of not existing Applet)","","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get flow submissions list & Flow answers of respondent tests → 404 Not Found (Get flow submissions list of not existing Applet)",""
"passed","Sat Sep 21 02:14:16 GMT 2024","Sat Sep 21 02:14:16 GMT 2024","155","","422 Missing attributes","","Missing lastName","","Invitations endpoints tests → Send invitation → Invitation Managers Send → 422 Missing attributes Missing lastName",""
"passed","Sat Sep 21 02:12:19 GMT 2024","Sat Sep 21 02:12:20 GMT 2024","1463","","Update Activity Flow →","","Get applet version changes","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Update Activity Flow → Get applet version changes",""
"passed","Sat Sep 21 02:04:34 GMT 2024","Sat Sep 21 02:04:34 GMT 2024","432","","Get exported data & dates after answer submit →","","200 OK (Get exported data by reviewer with assigned respondent)","","Get submit dates & exported Answers data tests → Get exported data & dates after answer submit → 200 OK (Get exported data by reviewer with assigned respondent)",""
"passed","Sat Sep 21 02:03:45 GMT 2024","Sat Sep 21 02:03:45 GMT 2024","713","","Create Assignments →","","403 Forbidden","","Activity Assignments tests → Negative tests → Create Assignments → 403 Forbidden",""
"passed","Sat Sep 21 02:17:42 GMT 2024","Sat Sep 21 02:17:42 GMT 2024","158","","422 Unprocessable Entity","","Update password with missing password param","","Update Password tests → 422 Unprocessable Entity Update password with missing password param",""
"passed","Sat Sep 21 02:09:25 GMT 2024","Sat Sep 21 02:09:25 GMT 2024","490","","Delete all general scheduled Applet Events tests →","","204 No Content (Delete all general scheduled Events)","","Applet Events CRUD tests → Delete all general scheduled Applet Events tests → 204 No Content (Delete all general scheduled Events)",""
"passed","Sat Sep 21 02:18:51 GMT 2024","Sat Sep 21 02:18:51 GMT 2024","836","","Remove manager access →","","200 OK","","Workspaces managers access tests → Remove manager access → 200 OK",""
"passed","Sat Sep 21 02:12:16 GMT 2024","Sat Sep 21 02:12:16 GMT 2024","322","","Update Activity →","","Get applet version changes","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Get applet version changes",""
"passed","Sat Sep 21 02:13:59 GMT 2024","Sat Sep 21 02:13:59 GMT 2024","351","","Decline invitation →","","200 OK","","Invitations endpoints tests → Decline invitation → 200 OK",""
