"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","310","Answer Notes tests → Delete Note tests → 403 Forbidden (Delete Note by respondent)","","Tue Jan 21 19:41:55 GMT 2025","passed","Tue Jan 21 19:41:55 GMT 2025","","Delete Note tests →","403 Forbidden (Delete Note by respondent)",""
"","201","Invitations endpoints tests → Send invitation → Invitation Managers Send → 422 Missing attributes Missing role","","Tue Jan 21 19:52:14 GMT 2025","passed","Tue Jan 21 19:52:14 GMT 2025","","422 Missing attributes","Missing role",""
"","174","Shell account invitation scenario tests → Accept invitation by unregistered user → Verify Invitation key expires after accepting the invite","","Tue Jan 21 19:52:52 GMT 2025","failed","Tue Jan 21 19:52:52 GMT 2025","","Accept invitation by unregistered user →","Verify Invitation key expires after accepting the invite",""
"","387","Administration tests → Respondents tests → View all respondents tests → 200 OK (Manager can view all respondents)","","Tue Jan 21 19:54:03 GMT 2025","passed","Tue Jan 21 19:54:03 GMT 2025","","View all respondents tests →","200 OK (Manager can view all respondents)",""
"","190","Applet public access tests → Get public events by key → 404: invalid key","","Tue Jan 21 19:48:28 GMT 2025","passed","Tue Jan 21 19:48:28 GMT 2025","","Get public events by key →","404: invalid key",""
"","159","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 422 Missing attributes Missing email","","Tue Jan 21 19:52:08 GMT 2025","passed","Tue Jan 21 19:52:08 GMT 2025","","422 Missing attributes","Missing email",""
"","257","""Workspace Folders"" endpoints tests → Workspace is created → Pin/Unpin Folder → Unpin Folder → 204 OK","","Tue Jan 21 19:56:20 GMT 2025","passed","Tue Jan 21 19:56:20 GMT 2025","","Unpin Folder →","204 OK",""
"","621","Administration tests → Respondents tests → Invite new respondent tests → 200 OK (Manager can invite new respondent)","","Tue Jan 21 19:54:01 GMT 2025","passed","Tue Jan 21 19:54:01 GMT 2025","","Invite new respondent tests →","200 OK (Manager can invite new respondent)",""
"","495","Applets CRUD endpoints tests → Create applet → 201 Created","","Tue Jan 21 19:45:49 GMT 2025","passed","Tue Jan 21 19:45:49 GMT 2025","","Create applet →","201 Created",""
"","235","Administration tests → Transfer ownership of Applet tests → 403 Forbidden (Manager can not transfer ownership)","","Tue Jan 21 19:53:48 GMT 2025","passed","Tue Jan 21 19:53:48 GMT 2025","","Transfer ownership of Applet tests →","403 Forbidden (Manager can not transfer ownership)",""
"","2438","Create Answers for different item types tests → SingleSelect item","","Tue Jan 21 19:42:36 GMT 2025","passed","Tue Jan 21 19:42:38 GMT 2025","","Create Answers for different item types tests →","SingleSelect item",""
"","328","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Get applet version changes","","Tue Jan 21 19:50:00 GMT 2025","passed","Tue Jan 21 19:50:00 GMT 2025","","Remove Activity Flow →","Get applet version changes",""
"","249","Applets CRUD endpoints tests → Delete applet → 404 Applet not found","","Tue Jan 21 19:45:57 GMT 2025","passed","Tue Jan 21 19:45:57 GMT 2025","","Delete applet →","404 Applet not found",""
