"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","488","Invitations scenario tests → Decline invitation positive flow → Invitor can see invitation before it declined","","Wed Jan 22 15:31:04 GMT 2025","passed","Wed Jan 22 15:31:04 GMT 2025","","Decline invitation positive flow →","Invitor can see invitation before it declined",""
"","297","Applets ""setFolder"" endpoint tests → 422 (incorrect folderId)","","Wed Jan 22 15:28:23 GMT 2025","passed","Wed Jan 22 15:28:23 GMT 2025","","Applets ""setFolder"" endpoint tests →","422 (incorrect folderId)",""
"","3480","Applet Events scenario tests → End-To-End scenario (General scheduled activity Event)","","Wed Jan 22 15:27:40 GMT 2025","passed","Wed Jan 22 15:27:43 GMT 2025","","Applet Events scenario tests →","End-To-End scenario (General scheduled activity Event)",""
"","134","Shell account invitation scenario tests → Decline invitation by unregistered user → New user can decline invitation after registration","","Wed Jan 22 15:32:33 GMT 2025","failed","Wed Jan 22 15:32:33 GMT 2025","","Decline invitation by unregistered user →","New user can decline invitation after registration",""
"","1142","Applet builder tests → Create applet → Positive tests → Multiple activity with single item in each","","Wed Jan 22 15:25:54 GMT 2025","failed","Wed Jan 22 15:25:55 GMT 2025","","Positive tests →","Multiple activity with single item in each",""
"","26","Answer Notes tests → Get Notes list tests → Get Notes list (not empty) 401 Unauthorized (Get Note list with not existing token)","","Wed Jan 22 15:21:45 GMT 2025","passed","Wed Jan 22 15:21:45 GMT 2025","","Get Notes list (not empty)","401 Unauthorized (Get Note list with not existing token)",""
"","261","""Subjects"" endpoints CRUD tests → Get subjects 403: Forbidden","","Wed Jan 22 15:34:20 GMT 2025","passed","Wed Jan 22 15:34:20 GMT 2025","","Get subjects","403: Forbidden",""
"","1048","Applet builder tests → Create applet → Positive tests → Performance task activities: A/B Trails Tablet and A/B Trails Mobile","","Wed Jan 22 15:25:54 GMT 2025","failed","Wed Jan 22 15:25:55 GMT 2025","","Positive tests →","Performance task activities: A/B Trails Tablet and A/B Trails Mobile",""
"","23","Workspaces endpoints tests → Empty workspaces → Get workspace managers → 401 Unauthorized","","Wed Jan 22 15:36:34 GMT 2025","passed","Wed Jan 22 15:36:34 GMT 2025","","Get workspace managers →","401 Unauthorized",""
"","5127","Invitations scenario tests → Invite unregistered user flow → New user should receive an e-mail with invitation","","Wed Jan 22 15:31:16 GMT 2025","passed","Wed Jan 22 15:31:21 GMT 2025","","Invite unregistered user flow →","New user should receive an e-mail with invitation",""
"","214","Invitations endpoints tests → Accept invitation → 404 - non-existent invitation key","","Wed Jan 22 15:31:30 GMT 2025","passed","Wed Jan 22 15:31:30 GMT 2025","","Accept invitation →","404 - non-existent invitation key",""
"","227","Administration tests → Organizers tests → View all organizers tests → 403 Forbidden (Reviewer can NOT view organizers)","","Wed Jan 22 15:33:27 GMT 2025","passed","Wed Jan 22 15:33:27 GMT 2025","","View all organizers tests →","403 Forbidden (Reviewer can NOT view organizers)",""
"","172","Applet Events CRUD tests → Create Events tests → 422 Unprocessable Entity → Create Event with missing startTime (periodicity type: WEEKDAYS) param","","Wed Jan 22 15:26:59 GMT 2025","passed","Wed Jan 22 15:26:59 GMT 2025","","422 Unprocessable Entity →","Create Event with missing startTime (periodicity type: WEEKDAYS) param",""
"","1063","Applet builder tests → Create applet → Positive tests → Applet with maximum items settings","","Wed Jan 22 15:25:54 GMT 2025","failed","Wed Jan 22 15:25:55 GMT 2025","","Positive tests →","Applet with maximum items settings",""
