"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 11:05:14 GMT 2024","Tue Jul 16 11:05:14 GMT 2024","237","","Invite new respondent tests →","","403 Forbidden (Respondent can NOT invite new respondent)","","Administration tests → Respondents tests → Invite new respondent tests → 403 Forbidden (Respondent can NOT invite new respondent)",""
"passed","Tue Jul 16 11:05:25 GMT 2024","Tue Jul 16 11:05:25 GMT 2024","372","","View General calendar in workspace of Applet owner tests →","","403 Forbidden (Editor can NOT view General calendar)","","Administration tests → Applets tests → View General calendar in workspace of Applet owner tests → 403 Forbidden (Editor can NOT view General calendar)",""
"passed","Tue Jul 16 10:55:56 GMT 2024","Tue Jul 16 10:55:56 GMT 2024","272","","Get Summary and Review Activities (empty list) tests →","","Get Review Activities (empty list) →","","Summary & Review activities tests → Get Summary and Review Activities (empty list) tests → Get Review Activities (empty list) →",""
"passed","Tue Jul 16 11:07:57 GMT 2024","Tue Jul 16 11:07:57 GMT 2024","232","","Get workspace managers →","","404 Not Found (non-existent ownerId)","","Workspaces endpoints tests → Empty workspaces → Get workspace managers → 404 Not Found (non-existent ownerId)",""
"passed","Tue Jul 16 11:03:43 GMT 2024","Tue Jul 16 11:03:43 GMT 2024","229","","Invite Shell account →","","422: Missing attribute","","Invitations endpoints tests → Invite Shell account → 422: Missing attribute",""
"passed","Tue Jul 16 10:57:56 GMT 2024","Tue Jul 16 10:57:56 GMT 2024","232","","Create Events tests →","","400 Bad Request (Create general Always Available activity Event)","","Applet Events CRUD tests → Create Events tests → 400 Bad Request (Create general Always Available activity Event)",""
"failed","Tue Jul 16 11:01:09 GMT 2024","Tue Jul 16 11:01:16 GMT 2024","7946","","Check answer (file) uploaded →","","200 OK (uploaded = false)","","Files upload/download tests → Upload/Download answers (applet files) → Check answer (file) uploaded → 200 OK (uploaded = false)",""
"passed","Tue Jul 16 10:53:13 GMT 2024","Tue Jul 16 10:53:13 GMT 2024","512","","Delete Note tests →","","204 No Content (Note can be deleted successfully) & Applet owner retrieves empty Note list","","Answer Notes tests → Delete Note tests → 204 No Content (Note can be deleted successfully) & Applet owner retrieves empty Note list",""
"passed","Tue Jul 16 10:56:17 GMT 2024","Tue Jul 16 10:56:17 GMT 2024","258","","Cart test →","","Get Cart items (empty cart)","","Applet Library tests → Applet is added to the library → Cart test → Get Cart items (empty cart)",""
"passed","Tue Jul 16 10:57:33 GMT 2024","Tue Jul 16 10:57:33 GMT 2024","109","","400 / 422 Bad Request →","","Invalid retention value","","Applets ""retentions"" endpoint tests → 400 / 422 Bad Request → Invalid retention value",""
