"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 13:12:53 GMT 2024","Fri Jun 28 13:12:53 GMT 2024","19","","Set workspace managers applet access list →","","401 Unauthorized","","Workspaces managers access tests → Set workspace managers applet access list → 401 Unauthorized",""
"passed","Fri Jun 28 13:00:56 GMT 2024","Fri Jun 28 13:00:56 GMT 2024","222","","Get flow Versions tests →","","200 OK (default version after Applet creation)","","Flow Versions & Identifiers tests → Get flow Versions tests → 200 OK (default version after Applet creation)",""
"passed","Fri Jun 28 13:08:58 GMT 2024","Fri Jun 28 13:08:58 GMT 2024","275","","Invite Shell account →","","200 OK","","Invitations endpoints tests → Invite Shell account → 200 OK",""
"passed","Fri Jun 28 13:11:19 GMT 2024","Fri Jun 28 13:11:19 GMT 2024","211","","Delete subjects","","422: Missing deleteAnswers flag","","""Subjects"" endpoints CRUD tests → Delete subjects 422: Missing deleteAnswers flag",""
"passed","Fri Jun 28 12:59:06 GMT 2024","Fri Jun 28 12:59:06 GMT 2024","259","","Get exported data before Answer submit →","","200 OK (Get empty exported data)","","Get submit dates & exported Answers data tests → Get exported data before Answer submit → 200 OK (Get empty exported data)",""
"passed","Fri Jun 28 13:11:24 GMT 2024","Fri Jun 28 13:11:24 GMT 2024","19","","Update Theme →","","401 Unauthorized (invalid token)","","""Themes"" endpoints tests → Update Theme → 401 Unauthorized (invalid token)",""
"passed","Fri Jun 28 13:03:57 GMT 2024","Fri Jun 28 13:03:57 GMT 2024","352","","Create cross-day events tests →","","201 Created (Cross-day Event with MONTHLY periodicity type and availability range: 00:01:00-00:00:00)","","Applet Events CRUD tests → Create cross-day events tests → 201 Created (Cross-day Event with MONTHLY periodicity type and availability range: 00:01:00-00:00:00)",""
"passed","Fri Jun 28 13:13:47 GMT 2024","Fri Jun 28 13:13:47 GMT 2024","496","","Update workspace applet respondent →","","400 Bad Request (not unique secretUserId)","","Workspaces endpoints tests → Workspaces created → Update workspace applet respondent → 400 Bad Request (not unique secretUserId)",""
"passed","Fri Jun 28 13:03:24 GMT 2024","Fri Jun 28 13:03:24 GMT 2024","113","","422 Unprocessable Entity →","","Create Event with missing startTime (periodicity type: DAILY) param","","Applet Events CRUD tests → Create Events tests → 422 Unprocessable Entity → Create Event with missing startTime (periodicity type: DAILY) param",""
"passed","Fri Jun 28 13:11:58 GMT 2024","Fri Jun 28 13:11:58 GMT 2024","112","","422 Unprocessable Entity","","Update password with missing password param","","Update Password tests → 422 Unprocessable Entity Update password with missing password param",""
"failed","Fri Jun 28 13:04:53 GMT 2024","Fri Jun 28 13:04:53 GMT 2024","332","","Transfer Decline →","","Second receiver should become the owner","","Applet ""Transfer Ownership"" scenario tests → Transfer Decline → Second receiver should become the owner",""
"passed","Fri Jun 28 13:13:28 GMT 2024","Fri Jun 28 13:13:28 GMT 2024","542","","Get workspace Applets →","","Reviewer gets collaborated applets","","Workspaces endpoints tests → Workspaces created → Get workspace Applets → Reviewer gets collaborated applets",""
"passed","Fri Jun 28 13:08:45 GMT 2024","Fri Jun 28 13:08:45 GMT 2024","181","","Invitation Respondent Send →","","404 - Applet does not exist","","Invitations endpoints tests → Send invitation → Invitation Respondent Send → 404 - Applet does not exist",""
"passed","Fri Jun 28 13:08:42 GMT 2024","Fri Jun 28 13:08:42 GMT 2024","194","","Decline invitation →","","200 OK","","Invitations endpoints tests → Decline invitation → 200 OK",""
