"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Workspaces endpoints tests → Workspaces created → Update workspace applet respondent → 404 Not Found (invalid respondent id)","","Wed Nov 13 16:55:32 GMT 2024","passed","Wed Nov 13 16:55:32 GMT 2024","","Update workspace applet respondent →","404 Not Found (invalid respondent id)",""
"","252","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Get applet version by id","","Wed Nov 13 16:47:43 GMT 2024","passed","Wed Nov 13 16:47:43 GMT 2024","","Add Activity Flow →","Get applet version by id",""
"","241","Answer Notes tests → Delete Note tests → 404 Not Found (Delete not existing Note)","","Wed Nov 13 16:39:25 GMT 2024","passed","Wed Nov 13 16:39:25 GMT 2024","","Delete Note tests →","404 Not Found (Delete not existing Note)",""
"","173","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing accessBeforeSchedule (periodicity type: ONCE) param","","Wed Nov 13 16:45:18 GMT 2024","passed","Wed Nov 13 16:45:18 GMT 2024","","422 Unprocessable Entity →","Update Event with missing accessBeforeSchedule (periodicity type: ONCE) param",""
"","181","Applets ""retentions"" endpoint tests → 400 / 422 Bad Request → Invalid retention value","","Wed Nov 13 16:44:26 GMT 2024","passed","Wed Nov 13 16:44:26 GMT 2024","","400 / 422 Bad Request →","Invalid retention value",""
"","243","Answer Notes tests → Edit Note tests → 403 Forbidden (Update Note by respondent)","","Wed Nov 13 16:39:23 GMT 2024","passed","Wed Nov 13 16:39:23 GMT 2024","","Edit Note tests →","403 Forbidden (Update Note by respondent)",""
"","254","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Get applet version changes","","Wed Nov 13 16:47:43 GMT 2024","passed","Wed Nov 13 16:47:43 GMT 2024","","Add Activity Flow →","Get applet version changes",""
"","277","""Workspace Folders"" endpoints tests → Workspace is created → Pin/Unpin Folder → Unpin Folder → 204 OK","","Wed Nov 13 16:53:57 GMT 2024","passed","Wed Nov 13 16:53:57 GMT 2024","","Unpin Folder →","204 OK",""
"","64","Invitations endpoints tests → Get invitations → No Invitations created → Get invitations for invitor → 401 Unauthorized (invalid token)","","Wed Nov 13 16:49:29 GMT 2024","passed","Wed Nov 13 16:49:29 GMT 2024","","Get invitations for invitor →","401 Unauthorized (invalid token)",""
"","287","Activity Assessment & Review CRUD tests → Delete Assessment tests → 404 Not Found (Delete submitted assessment for not existing answer)","","Wed Nov 13 16:41:59 GMT 2024","passed","Wed Nov 13 16:41:59 GMT 2024","","Delete Assessment tests →","404 Not Found (Delete submitted assessment for not existing answer)",""
