"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3283","Create Answers for different item types tests → Touch performance task","","Fri Nov 01 13:56:44 GMT 2024","failed","Fri Nov 01 13:56:47 GMT 2024","","Create Answers for different item types tests →","Touch performance task",""
"","299","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with WEEKLY periodicity type and availability range: 23:59:00-23:59:00)","","Fri Nov 01 14:03:14 GMT 2024","passed","Fri Nov 01 14:03:14 GMT 2024","","Create cross-day events tests →","422 (Cross-day Event with WEEKLY periodicity type and availability range: 23:59:00-23:59:00)",""
"","291","Applets ""retentions"" endpoint tests → 404 applet Not found","","Fri Nov 01 14:01:52 GMT 2024","passed","Fri Nov 01 14:01:52 GMT 2024","","Applets ""retentions"" endpoint tests →","404 applet Not found",""
"","328","Applets ""unique_name"" endpoint tests → 200 OK: not unique name with excludingAppletId","","Fri Nov 01 14:05:32 GMT 2024","passed","Fri Nov 01 14:05:32 GMT 2024","","Applets ""unique_name"" endpoint tests →","200 OK: not unique name with excludingAppletId",""
"","415","Logs upload/download tests → Check logs existence → 200 OK (uploaded = false)","","Fri Nov 01 14:06:43 GMT 2024","passed","Fri Nov 01 14:06:43 GMT 2024","","Check logs existence →","200 OK (uploaded = false)",""
"","474","Applet Library tests → Applet is added to the library → Get Library items list 200 OK (search by activity name)","","Fri Nov 01 14:00:05 GMT 2024","passed","Fri Nov 01 14:00:05 GMT 2024","","Get Library items list","200 OK (search by activity name)",""
"","236","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with DAILY periodicity type and availability range: 00:00:00-00:00:00)","","Fri Nov 01 14:03:14 GMT 2024","passed","Fri Nov 01 14:03:14 GMT 2024","","Create cross-day events tests →","422 (Cross-day Event with DAILY periodicity type and availability range: 00:00:00-00:00:00)",""
"","331","Summary & Review activity flow tests → Get Review activity flow tests → 422 Unprocessable Entity (Get Review activity flow list without createdDate query param)","","Fri Nov 01 13:59:54 GMT 2024","passed","Fri Nov 01 13:59:54 GMT 2024","","Get Review activity flow tests →","422 Unprocessable Entity (Get Review activity flow list without createdDate query param)",""
"","369","Applet ""Transfer Ownership"" scenario tests → Transfer Accept → First receiver should become the owner → Verify transferred applet details","","Fri Nov 01 14:04:42 GMT 2024","passed","Fri Nov 01 14:04:42 GMT 2024","","First receiver should become the owner →","Verify transferred applet details",""
"","343","Workspaces endpoints tests → Workspaces created → Get workspace Folder Applets → 200 OK (non-empty list)","","Fri Nov 01 14:14:38 GMT 2024","passed","Fri Nov 01 14:14:38 GMT 2024","","Get workspace Folder Applets →","200 OK (non-empty list)",""
"","402","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Get applet version changes","","Fri Nov 01 14:05:53 GMT 2024","passed","Fri Nov 01 14:05:53 GMT 2024","","Update Activity →","Get applet version changes",""
"","1319","Administration tests → Organizers tests → Invite new organizer tests → 403 Forbidden (Respondent can NOT invite manager, coordinator, editor, reviewer)","","Fri Nov 01 14:10:07 GMT 2024","passed","Fri Nov 01 14:10:08 GMT 2024","","Invite new organizer tests →","403 Forbidden (Respondent can NOT invite manager, coordinator, editor, reviewer)",""
"","327","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Create Answer tests → 422 Unprocessable Entity → Create Answer with missing endTime param","","Fri Nov 01 13:58:13 GMT 2024","passed","Fri Nov 01 13:58:13 GMT 2024","","422 Unprocessable Entity →","Create Answer with missing endTime param",""
"","768","Applet Events CRUD tests → Get Applet Event by Id tests → 404 Not Found (Get individual scheduled activity Event of deleted Applet)","","Fri Nov 01 14:02:44 GMT 2024","passed","Fri Nov 01 14:02:44 GMT 2024","","Get Applet Event by Id tests →","404 Not Found (Get individual scheduled activity Event of deleted Applet)",""
"","393","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Get applet versions","","Fri Nov 01 14:05:51 GMT 2024","passed","Fri Nov 01 14:05:51 GMT 2024","","Remove Activity Item →","Get applet versions",""
"","323","Applets CRUD endpoints tests → Get applet by id → 404 Applet not found","","Fri Nov 01 14:00:36 GMT 2024","passed","Fri Nov 01 14:00:36 GMT 2024","","Get applet by id →","404 Applet not found",""
"","283","""Themes"" endpoints tests → Update Theme → 422 Unprocessable Entity (missing attribute)","","Fri Nov 01 14:11:37 GMT 2024","passed","Fri Nov 01 14:11:37 GMT 2024","","Update Theme →","422 Unprocessable Entity (missing attribute)",""
"","725","Invitations scenario tests → Decline invitation positive flow → Invitation can be sent again after it declination by the user","","Fri Nov 01 14:07:24 GMT 2024","passed","Fri Nov 01 14:07:24 GMT 2024","","Decline invitation positive flow →","Invitation can be sent again after it declination by the user",""
"","970","Applets CRUD endpoints tests → Get applets list → 200 OK (not-empty list)","","Fri Nov 01 14:00:29 GMT 2024","passed","Fri Nov 01 14:00:29 GMT 2024","","Get applets list →","200 OK (not-empty list)",""
"","346","Access link tests → Create Access link tests → 404 Not Found (Create Access link with not existing applet)","","Fri Nov 01 14:00:17 GMT 2024","passed","Fri Nov 01 14:00:17 GMT 2024","","Create Access link tests →","404 Not Found (Create Access link with not existing applet)",""
"","385","Applets GET ""base info"" endpoint tests → 404 Not Found: invalid applet id","","Fri Nov 01 14:00:44 GMT 2024","passed","Fri Nov 01 14:00:44 GMT 2024","","Applets GET ""base info"" endpoint tests →","404 Not Found: invalid applet id",""
"","297","Invitations scenario tests → Re-send invitation flow → Invited user can retrieve new invitation","","Fri Nov 01 14:07:30 GMT 2024","passed","Fri Nov 01 14:07:30 GMT 2024","","Re-send invitation flow →","Invited user can retrieve new invitation",""
"","480","Applet Events CRUD tests → Create cross-day events tests → 201 Created (Cross-day Event with WEEKDAYS periodicity type and availability range: 00:01:00-00:00:00)","","Fri Nov 01 14:03:14 GMT 2024","passed","Fri Nov 01 14:03:14 GMT 2024","","Create cross-day events tests →","201 Created (Cross-day Event with WEEKDAYS periodicity type and availability range: 00:01:00-00:00:00)",""
"","377","Workspaces endpoints tests → Workspaces created → Pin user (respondent) on workspace → 404 Not Found (ownerId)","","Fri Nov 01 14:14:54 GMT 2024","passed","Fri Nov 01 14:14:54 GMT 2024","","Pin user (respondent) on workspace →","404 Not Found (ownerId)",""
"","355","Invitations scenario tests → Invite unregistered user flow → New user can accept invitation after registration","","Fri Nov 01 14:07:37 GMT 2024","passed","Fri Nov 01 14:07:37 GMT 2024","","Invite unregistered user flow →","New user can accept invitation after registration",""
"","2539","Create Answers for different item types tests → All simple mobile items","","Fri Nov 01 13:56:44 GMT 2024","failed","Fri Nov 01 13:56:46 GMT 2024","","Create Answers for different item types tests →","All simple mobile items",""
"","235","Activity Assignments tests → Negative tests → Create Assignments → 422 Unprocessable entity: missing attribute","","Fri Nov 01 13:55:41 GMT 2024","passed","Fri Nov 01 13:55:41 GMT 2024","","Create Assignments →","422 Unprocessable entity: missing attribute",""
"","413","Answer Notes tests → Get Notes list tests → 200 OK (Get empty Notes list)","","Fri Nov 01 13:55:49 GMT 2024","passed","Fri Nov 01 13:55:49 GMT 2024","","Get Notes list tests →","200 OK (Get empty Notes list)",""
"","303","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with WEEKDAYS periodicity type and availability range: 23:59:00-23:59:00)","","Fri Nov 01 14:03:14 GMT 2024","passed","Fri Nov 01 14:03:14 GMT 2024","","Create cross-day events tests →","422 (Cross-day Event with WEEKDAYS periodicity type and availability range: 23:59:00-23:59:00)",""
"","140","Activity Assessment & Review CRUD tests → Delete Assessment tests → 401 Unauthorized (Delete submitted assessment with not existing token)","","Fri Nov 01 13:58:55 GMT 2024","passed","Fri Nov 01 13:58:55 GMT 2024","","Delete Assessment tests →","401 Unauthorized (Delete submitted assessment with not existing token)",""
"","265","Applet public access tests → Get public applet by key → 200 OK","","Fri Nov 01 14:04:00 GMT 2024","passed","Fri Nov 01 14:04:00 GMT 2024","","Get public applet by key →","200 OK",""
"","895","""Workspace Folders"" endpoints tests → Workspace is created → Pin/Unpin Folder → Pin Folder → 400 (applet not in folder)","","Fri Nov 01 14:13:06 GMT 2024","passed","Fri Nov 01 14:13:06 GMT 2024","","Pin Folder →","400 (applet not in folder)",""
"","151","Workspaces endpoints tests → Workspaces created → Update workspace applet respondent → 401 Unauthorized","","Fri Nov 01 14:15:02 GMT 2024","passed","Fri Nov 01 14:15:02 GMT 2024","","Update workspace applet respondent →","401 Unauthorized",""
"","148","Workspaces endpoints tests → Workspaces created → Pin user (respondent) on workspace → 401 Unauthorized","","Fri Nov 01 14:14:54 GMT 2024","passed","Fri Nov 01 14:14:54 GMT 2024","","Pin user (respondent) on workspace →","401 Unauthorized",""
"","361","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Get applet version by id","","Fri Nov 01 14:05:55 GMT 2024","passed","Fri Nov 01 14:05:55 GMT 2024","","Update Activity Item →","Get applet version by id",""
"","2806","Create Answers for different item types tests → A/B Mobile performance task","","Fri Nov 01 13:56:44 GMT 2024","failed","Fri Nov 01 13:56:46 GMT 2024","","Create Answers for different item types tests →","A/B Mobile performance task",""
"","148","Applet Events CRUD tests → Import Applet Events tests → 401 Unauthorized (Import Events with not existing appletOwnerToken)","","Fri Nov 01 14:03:09 GMT 2024","passed","Fri Nov 01 14:03:09 GMT 2024","","Import Applet Events tests →","401 Unauthorized (Import Events with not existing appletOwnerToken)",""
"","343","Administration tests → Organizers tests → Change organizer roles/permissions tests → 403 Forbidden (Reviewer can NOT grant editor's permissions to respondent)","","Fri Nov 01 14:10:18 GMT 2024","passed","Fri Nov 01 14:10:18 GMT 2024","","Change organizer roles/permissions tests →","403 Forbidden (Reviewer can NOT grant editor's permissions to respondent)",""
"","269","Applets CRUD endpoints tests → Update applet → 422 Unprocessable Entity (missing attribute) Missing ""activity flows""","","Fri Nov 01 14:00:40 GMT 2024","passed","Fri Nov 01 14:00:40 GMT 2024","","422 Unprocessable Entity (missing attribute)","Missing ""activity flows""",""
"","418","Workspaces endpoints tests → Empty workspaces → Get workspace managers → 200 OK","","Fri Nov 01 14:14:14 GMT 2024","passed","Fri Nov 01 14:14:14 GMT 2024","","Get workspace managers →","200 OK",""
"","684","Invitations endpoints tests → Send invitation → Invitation Managers Send → 200 OK (send to unregistered user) Role = editor","","Fri Nov 01 14:08:14 GMT 2024","passed","Fri Nov 01 14:08:14 GMT 2024","","200 OK (send to unregistered user)","Role = editor",""
"","371","Administration tests → Respondents tests → Set schedule for respondents tests → 403 Forbidden (Respondent can NOT schedule Event)","","Fri Nov 01 14:10:28 GMT 2024","passed","Fri Nov 01 14:10:28 GMT 2024","","Set schedule for respondents tests →","403 Forbidden (Respondent can NOT schedule Event)",""
"","296","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with WEEKLY periodicity type and availability range: 00:00:00-00:00:00)","","Fri Nov 01 14:03:14 GMT 2024","passed","Fri Nov 01 14:03:14 GMT 2024","","Create cross-day events tests →","422 (Cross-day Event with WEEKLY periodicity type and availability range: 00:00:00-00:00:00)",""
"","416","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Get applet version changes","","Fri Nov 01 14:05:48 GMT 2024","passed","Fri Nov 01 14:05:48 GMT 2024","","Remove Activity Flow →","Get applet version changes",""
"","371","Workspaces endpoints tests → Workspaces created → Search workspace Applets → 200 OK (no result)","","Fri Nov 01 14:14:37 GMT 2024","passed","Fri Nov 01 14:14:37 GMT 2024","","Search workspace Applets →","200 OK (no result)",""
"","329","Shell account invitation scenario tests → Accept invitation by already registered user → Verify Invitation key expires after accepting the invite","","Fri Nov 01 14:09:18 GMT 2024","passed","Fri Nov 01 14:09:18 GMT 2024","","Accept invitation by already registered user →","Verify Invitation key expires after accepting the invite",""
