"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214","Applet public access tests → Create anonymous answer 422 Unprocessable entity (missing answer)","","Fri Nov 15 01:10:20 GMT 2024","passed","Fri Nov 15 01:10:20 GMT 2024","","Create anonymous answer","422 Unprocessable entity (missing answer)",""
"","309","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Get applet version changes","","Fri Nov 15 01:12:07 GMT 2024","passed","Fri Nov 15 01:12:07 GMT 2024","","Add Activity Item →","Get applet version changes",""
"","348","Logs upload/download tests → Check logs existence → 200 OK (empty list)","","Fri Nov 15 01:12:56 GMT 2024","passed","Fri Nov 15 01:12:56 GMT 2024","","Check logs existence →","200 OK (empty list)",""
"","385","User Events scenario tests → The 2nd respondent should get in total 4 Events from the 1st and 2nd Applet","","Fri Nov 15 01:18:25 GMT 2024","passed","Fri Nov 15 01:18:25 GMT 2024","","User Events scenario tests →","The 2nd respondent should get in total 4 Events from the 1st and 2nd Applet",""
"","339","Shell account invitation scenario tests → Accept invitation by already registered user → Verify shell account is in pending status in the list of respondents","","Fri Nov 15 01:15:21 GMT 2024","passed","Fri Nov 15 01:15:21 GMT 2024","","Accept invitation by already registered user →","Verify shell account is in pending status in the list of respondents",""
"","2562","Create Answers for different item types tests → Multiselect item","","Fri Nov 15 01:03:26 GMT 2024","failed","Fri Nov 15 01:03:28 GMT 2024","","Create Answers for different item types tests →","Multiselect item",""
"","410","Files upload/download tests → Upload/Download answers (applet files) → Download Answer → 404 file not found","","Fri Nov 15 01:12:39 GMT 2024","passed","Fri Nov 15 01:12:39 GMT 2024","","Download Answer →","404 file not found",""
"","2721","Create Answers for different item types tests → Slider item","","Fri Nov 15 01:03:26 GMT 2024","failed","Fri Nov 15 01:03:28 GMT 2024","","Create Answers for different item types tests →","Slider item",""
"","342","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Get applet versions","","Fri Nov 15 01:12:11 GMT 2024","passed","Fri Nov 15 01:12:11 GMT 2024","","Update Activity Item →","Get applet versions",""
"","304","Invitations scenario tests → Invite unregistered user flow → New user can see the applet","","Fri Nov 15 01:13:47 GMT 2024","passed","Fri Nov 15 01:13:47 GMT 2024","","Invite unregistered user flow →","New user can see the applet",""
"","345","Activity Versions & Identifiers tests → Get Versions tests → 200 OK (default version after Applet creation)","","Fri Nov 15 01:05:49 GMT 2024","passed","Fri Nov 15 01:05:49 GMT 2024","","Get Versions tests →","200 OK (default version after Applet creation)",""
"","621","Applet Library tests → Applet is added to the library → Cart test → Clear cart","","Fri Nov 15 01:06:42 GMT 2024","passed","Fri Nov 15 01:06:42 GMT 2024","","Cart test →","Clear cart",""
"","356","Applets ""setFolder"" endpoint tests → 200 OK (unset folder)","","Fri Nov 15 01:10:28 GMT 2024","passed","Fri Nov 15 01:10:28 GMT 2024","","Applets ""setFolder"" endpoint tests →","200 OK (unset folder)",""
"","344","Workspaces endpoints tests → Workspaces created → Search workspace Applets → 200 OK (search by partial name)","","Fri Nov 15 01:20:19 GMT 2024","passed","Fri Nov 15 01:20:19 GMT 2024","","Search workspace Applets →","200 OK (search by partial name)",""
"","448","Administration tests → Respondents tests → Set schedule for respondents tests → 201 (Coordinator can schedule Event)","","Fri Nov 15 01:16:27 GMT 2024","passed","Fri Nov 15 01:16:27 GMT 2024","","Set schedule for respondents tests →","201 (Coordinator can schedule Event)",""
"","373","Workspaces endpoints tests → Workspaces created → Get workspace respondents → Test for filters (query params) → Search by secretUserId","","Fri Nov 15 01:20:24 GMT 2024","passed","Fri Nov 15 01:20:24 GMT 2024","","Test for filters (query params) →","Search by secretUserId",""
"","253","Applets CRUD endpoints tests → Create applet → 422 Unprocessable Entity (missing attribute) Missing ""display name""","","Fri Nov 15 01:07:03 GMT 2024","passed","Fri Nov 15 01:07:03 GMT 2024","","422 Unprocessable Entity (missing attribute)","Missing ""display name""",""
"","338","Activity Assessment & Review CRUD tests → Get Assessment & Review tests → Get Assessment tests → 404 Not Found (Get Assessment of not existing Applet)","","Fri Nov 15 01:05:27 GMT 2024","passed","Fri Nov 15 01:05:27 GMT 2024","","Get Assessment tests →","404 Not Found (Get Assessment of not existing Applet)",""
