"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 05:44:35 GMT 2024","Fri Aug 02 05:44:35 GMT 2024","307","","Get exported data & dates after answer submit →","","200 OK (Get exported data by respondent - should see only his own data)","","Get submit dates & exported Answers data tests → Get exported data & dates after answer submit → 200 OK (Get exported data by respondent - should see only his own data)",""
"failed","Fri Aug 02 05:50:24 GMT 2024","Fri Aug 02 05:50:29 GMT 2024","5556","","Transfer Decline →","","Send transfer request to two different users","","Applet ""Transfer Ownership"" scenario tests → Transfer Decline → Send transfer request to two different users",""
"passed","Fri Aug 02 05:48:53 GMT 2024","Fri Aug 02 05:48:53 GMT 2024","148","","422 Unprocessable Entity →","","Create Event with missing startTime (periodicity type: ONCE) param","","Applet Events CRUD tests → Create Events tests → 422 Unprocessable Entity → Create Event with missing startTime (periodicity type: ONCE) param",""
"passed","Fri Aug 02 05:51:15 GMT 2024","Fri Aug 02 05:51:15 GMT 2024","261","","Update Activity Flow →","","Get applet version changes","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Update Activity Flow → Get applet version changes",""
"passed","Fri Aug 02 05:48:56 GMT 2024","Fri Aug 02 05:48:56 GMT 2024","631","","Get general and individual Applet Events →","","404 Not Found (Get Applet Events of deleted Applet)","","Applet Events CRUD tests → Get general and individual Applet Events → 404 Not Found (Get Applet Events of deleted Applet)",""
"passed","Fri Aug 02 05:56:48 GMT 2024","Fri Aug 02 05:56:48 GMT 2024","254","","Get subjects","","404: Not Found","","""Subjects"" endpoints CRUD tests → Get subjects 404: Not Found",""
"passed","Fri Aug 02 05:47:43 GMT 2024","Fri Aug 02 05:47:43 GMT 2024","229","","Applets GET ""base info"" endpoint tests →","","404 Not Found: invalid applet id","","Applets GET ""base info"" endpoint tests → 404 Not Found: invalid applet id",""
"failed","Fri Aug 02 05:47:49 GMT 2024","Fri Aug 02 05:47:50 GMT 2024","1086","","Positive tests →","","Applet with conditional logic items (SingleSelect, MultiSelect, Slider, Text, Time)","","Applet builder tests → Create applet → Positive tests → Applet with conditional logic items (SingleSelect, MultiSelect, Slider, Text, Time)",""
"passed","Fri Aug 02 05:58:47 GMT 2024","Fri Aug 02 05:58:47 GMT 2024","14","","Get user workspaces →","","401 Unauthorized","","Workspaces endpoints tests → Empty workspaces → Get user workspaces → 401 Unauthorized",""
"passed","Fri Aug 02 05:57:57 GMT 2024","Fri Aug 02 05:57:57 GMT 2024","15","","Update Folder →","","401 Unauthorized (invalid token)","","""Workspace Folders"" endpoints tests → Workspace is created → Update Folder → 401 Unauthorized (invalid token)",""
"passed","Fri Aug 02 05:49:14 GMT 2024","Fri Aug 02 05:49:14 GMT 2024","162","","422 Unprocessable Entity →","","Update Event with missing accessBeforeSchedule (periodicity type: DAILY) param","","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing accessBeforeSchedule (periodicity type: DAILY) param",""
"passed","Fri Aug 02 05:48:53 GMT 2024","Fri Aug 02 05:48:53 GMT 2024","169","","422 Unprocessable Entity →","","Create Event with missing endTime (periodicity type: WEEKDAYS) param","","Applet Events CRUD tests → Create Events tests → 422 Unprocessable Entity → Create Event with missing endTime (periodicity type: WEEKDAYS) param",""
"passed","Fri Aug 02 05:59:22 GMT 2024","Fri Aug 02 05:59:22 GMT 2024","558","","Update workspace applet respondent →","","400 Bad Request (not unique secretUserId)","","Workspaces endpoints tests → Workspaces created → Update workspace applet respondent → 400 Bad Request (not unique secretUserId)",""
"passed","Fri Aug 02 05:46:28 GMT 2024","Fri Aug 02 05:46:28 GMT 2024","278","","Flow has been updated →","","200 OK (Get flow versions after adding new activity in flow)","","Flow Versions & Identifiers tests → Get flow Versions tests → Flow has been updated → 200 OK (Get flow versions after adding new activity in flow)",""
"passed","Fri Aug 02 05:52:36 GMT 2024","Fri Aug 02 05:52:36 GMT 2024","25","","Upload Logs →","","401 Unauthorized","","Logs upload/download tests → Upload Logs → 401 Unauthorized",""
"passed","Fri Aug 02 05:56:57 GMT 2024","Fri Aug 02 05:56:57 GMT 2024","133","","Update Theme →","","404 Not Found (non-existent theme)","","""Themes"" endpoints tests → Update Theme → 404 Not Found (non-existent theme)",""
"passed","Fri Aug 02 05:56:52 GMT 2024","Fri Aug 02 05:56:52 GMT 2024","271","","Delete subjects","","403: Forbidden","","""Subjects"" endpoints CRUD tests → Delete subjects 403: Forbidden",""
"passed","Fri Aug 02 05:57:04 GMT 2024","Fri Aug 02 05:57:04 GMT 2024","268","","Delete User tests →","","401 Unauthorized (Delete User with not existing token)","","Delete User tests → 401 Unauthorized (Delete User with not existing token)",""
"passed","Fri Aug 02 05:51:05 GMT 2024","Fri Aug 02 05:51:05 GMT 2024","270","","Add Activity →","","Get applet versions","","Applet versions endpoints tests → Update Applet → Add Activity → Get applet versions",""
"passed","Fri Aug 02 05:48:26 GMT 2024","Fri Aug 02 05:48:26 GMT 2024","266","","200 OK →","","1 indefinitely","","Applets ""retentions"" endpoint tests → 200 OK → 1 indefinitely",""
"passed","Fri Aug 02 05:47:38 GMT 2024","Fri Aug 02 05:47:38 GMT 2024","116","","Update applet →","","400 Bad request: activity key is invalid","","Applets CRUD endpoints tests → Update applet → 400 Bad request: activity key is invalid",""
"passed","Fri Aug 02 05:53:39 GMT 2024","Fri Aug 02 05:53:39 GMT 2024","175","","Answer URL","","422 Unprocessable entity (empty body)","","Files upload/download directly to S3 bucket tests → Generate presigned links EPs negative tests Answer URL 422 Unprocessable entity (empty body)",""
"passed","Fri Aug 02 05:47:17 GMT 2024","Fri Aug 02 05:47:17 GMT 2024","10","","Check Library item name →","","401 Unauthorized","","Applet Library tests → Applet is added to the library → Check Library item name → 401 Unauthorized",""
"passed","Fri Aug 02 05:44:08 GMT 2024","Fri Aug 02 05:44:08 GMT 2024","243","","Get applet completed activities tests →","","200 OK (empty): no answers submitted yet","","Get applet completed activities tests → 200 OK (empty): no answers submitted yet",""
"passed","Fri Aug 02 05:56:06 GMT 2024","Fri Aug 02 05:56:06 GMT 2024","222","","Set schedule for respondents tests →","","403 Forbidden (Reviewer can NOT schedule Event)","","Administration tests → Respondents tests → Set schedule for respondents tests → 403 Forbidden (Reviewer can NOT schedule Event)",""
"passed","Fri Aug 02 05:58:26 GMT 2024","Fri Aug 02 05:58:26 GMT 2024","282","","Set workspace managers applet access list →","","403 Access denied (role = super_admin)","","Workspaces managers access tests → Set workspace managers applet access list → 403 Access denied (role = super_admin)",""
"passed","Fri Aug 02 05:46:21 GMT 2024","Fri Aug 02 05:46:21 GMT 2024","226","","422 Unprocessable Entity →","","Create Assessment with missing assessmentVersionId param","","Activity Assessment & Review CRUD tests → Submit Assessment tests → 422 Unprocessable Entity → Create Assessment with missing assessmentVersionId param",""
"passed","Fri Aug 02 05:59:06 GMT 2024","Fri Aug 02 05:59:06 GMT 2024","10","","Search workspace Applets →","","401 Unauthorized","","Workspaces endpoints tests → Workspaces created → Search workspace Applets → 401 Unauthorized",""
"passed","Fri Aug 02 05:54:25 GMT 2024","Fri Aug 02 05:54:25 GMT 2024","102","","422 Missing attributes","","Missing lastName","","Invitations endpoints tests → Send invitation → Invitation Managers Send → 422 Missing attributes Missing lastName",""
"passed","Fri Aug 02 05:53:46 GMT 2024","Fri Aug 02 05:53:46 GMT 2024","413","","Decline invitation positive flow →","","Invitation is not available for invitor anymore","","Invitations scenario tests → Decline invitation positive flow → Invitation is not available for invitor anymore",""
"passed","Fri Aug 02 05:55:51 GMT 2024","Fri Aug 02 05:55:51 GMT 2024","222","","Transfer ownership of Applet tests →","","403 Forbidden (Respondent can not transfer ownership)","","Administration tests → Transfer ownership of Applet tests → 403 Forbidden (Respondent can not transfer ownership)",""
"passed","Fri Aug 02 05:49:26 GMT 2024","Fri Aug 02 05:49:26 GMT 2024","121","","Create cross-day events tests →","","422 (Cross-day Event with MONTHLY periodicity type and availability range: 23:59:00-23:59:00)","","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with MONTHLY periodicity type and availability range: 23:59:00-23:59:00)",""
"passed","Fri Aug 02 05:53:51 GMT 2024","Fri Aug 02 05:53:51 GMT 2024","250","","Re-send invitation flow →","","Invited user can't accept old invitation","","Invitations scenario tests → Re-send invitation flow → Invited user can't accept old invitation",""
"passed","Fri Aug 02 05:50:31 GMT 2024","Fri Aug 02 05:50:32 GMT 2024","1399","","Transfer Ownership to unregistered user →","","New user registers in the app","","Applet ""Transfer Ownership"" scenario tests → Transfer Ownership to unregistered user → New user registers in the app",""
"passed","Fri Aug 02 05:54:21 GMT 2024","Fri Aug 02 05:54:21 GMT 2024","136","","422 Missing attributes","","Missing subjects","","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 422 Missing attributes Missing subjects",""
"failed","Fri Aug 02 05:50:24 GMT 2024","Fri Aug 02 05:50:24 GMT 2024","120","","Transfer Decline →","","First receiver should not be able to accept request after declination","","Applet ""Transfer Ownership"" scenario tests → Transfer Decline → First receiver should not be able to accept request after declination",""
"passed","Fri Aug 02 05:54:29 GMT 2024","Fri Aug 02 05:54:29 GMT 2024","253","","Invite Shell account →","","404: Not Found","","Invitations endpoints tests → Invite Shell account → 404: Not Found",""
"failed","Fri Aug 02 05:47:49 GMT 2024","Fri Aug 02 05:47:50 GMT 2024","1019","","Positive tests →","","Applet with all hidden activities","","Applet builder tests → Create applet → Positive tests → Applet with all hidden activities",""
"passed","Fri Aug 02 05:51:14 GMT 2024","Fri Aug 02 05:51:14 GMT 2024","293","","Update Activity Item →","","Get applet version by id","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Get applet version by id",""
"passed","Fri Aug 02 05:51:15 GMT 2024","Fri Aug 02 05:51:15 GMT 2024","271","","Update Activity Flow →","","Get applet version by id","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Update Activity Flow → Get applet version by id",""
"passed","Fri Aug 02 05:53:40 GMT 2024","Fri Aug 02 05:53:40 GMT 2024","160","","Logs URL","","422 Unprocessable entity (empty body)","","Files upload/download directly to S3 bucket tests → Generate presigned links EPs negative tests Logs URL 422 Unprocessable entity (empty body)",""
"passed","Fri Aug 02 05:46:22 GMT 2024","Fri Aug 02 05:46:22 GMT 2024","239","","Delete Assessment tests →","","404 Not Found (Delete not existing assessment)","","Activity Assessment & Review CRUD tests → Delete Assessment tests → 404 Not Found (Delete not existing assessment)",""
"passed","Fri Aug 02 05:57:01 GMT 2024","Fri Aug 02 05:57:01 GMT 2024","14","","422 Unprocessable Entity","","Create user with empty lastName param","","Create User tests → 422 Unprocessable Entity Create user with empty lastName param",""
"passed","Fri Aug 02 05:56:52 GMT 2024","Fri Aug 02 05:56:52 GMT 2024","203","","Delete subjects","","404: Not Found","","""Subjects"" endpoints CRUD tests → Delete subjects 404: Not Found",""
"passed","Fri Aug 02 05:54:58 GMT 2024","Fri Aug 02 05:54:58 GMT 2024","547","","Accept invitation by unregistered user →","","Verify shell account is in pending status in the list of respondents","","Shell account invitation scenario tests → Accept invitation by unregistered user → Verify shell account is in pending status in the list of respondents",""
"passed","Fri Aug 02 05:59:22 GMT 2024","Fri Aug 02 05:59:22 GMT 2024","124","","Update workspace applet respondent →","","422 Missing Attribute (secretUserId)","","Workspaces endpoints tests → Workspaces created → Update workspace applet respondent → 422 Missing Attribute (secretUserId)",""
"passed","Fri Aug 02 05:54:34 GMT 2024","Fri Aug 02 05:54:34 GMT 2024","356","","Accept Public invitation tests →","","200 OK (Accept Public Invitation for created Applet)","","Applet public links tests → Accept Public invitation tests → 200 OK (Accept Public Invitation for created Applet)",""
"passed","Fri Aug 02 05:56:20 GMT 2024","Fri Aug 02 05:56:20 GMT 2024","306","","Perform activities tests →","","200 OK (Applet owner can submit answers)","","Administration tests → Perform activities tests → 200 OK (Applet owner can submit answers)",""
"passed","Fri Aug 02 05:47:43 GMT 2024","Fri Aug 02 05:47:43 GMT 2024","226","","Applets GET ""base info"" endpoint tests →","","403 Forbidden","","Applets GET ""base info"" endpoint tests → 403 Forbidden",""
"passed","Fri Aug 02 05:56:03 GMT 2024","Fri Aug 02 05:56:03 GMT 2024","389","","View all respondents tests →","","200 OK (Coordinator can view all respondents)","","Administration tests → Respondents tests → View all respondents tests → 200 OK (Coordinator can view all respondents)",""
"passed","Fri Aug 02 05:51:09 GMT 2024","Fri Aug 02 05:51:09 GMT 2024","342","","Remove Activity Flow →","","Get applet version changes","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Get applet version changes",""
"passed","Fri Aug 02 05:56:50 GMT 2024","Fri Aug 02 05:56:50 GMT 2024","281","","Update subjects","","200 OK: respondent","","""Subjects"" endpoints CRUD tests → Update subjects 200 OK: respondent",""
"passed","Fri Aug 02 05:48:53 GMT 2024","Fri Aug 02 05:48:53 GMT 2024","110","","422 Unprocessable Entity →","","Create Event with missing selectedDate param (periodicity type: MONTHLY)","","Applet Events CRUD tests → Create Events tests → 422 Unprocessable Entity → Create Event with missing selectedDate param (periodicity type: MONTHLY)",""
"passed","Fri Aug 02 05:52:02 GMT 2024","Fri Aug 02 05:52:02 GMT 2024","113","","Check answer (file) uploaded →","","422 Unprocessable entity","","Files upload/download tests → Upload/Download answers (applet files) → Check answer (file) uploaded → 422 Unprocessable entity",""
"passed","Fri Aug 02 05:56:20 GMT 2024","Fri Aug 02 05:56:20 GMT 2024","382","","Perform activities tests →","","200 OK (Manager can submit answers)","","Administration tests → Perform activities tests → 200 OK (Manager can submit answers)",""
"passed","Fri Aug 02 05:53:39 GMT 2024","Fri Aug 02 05:53:39 GMT 2024","19","","Media URL","","401 Unauthorized","","Files upload/download directly to S3 bucket tests → Generate presigned links EPs negative tests Media URL 401 Unauthorized",""
"passed","Fri Aug 02 05:44:08 GMT 2024","Fri Aug 02 05:44:08 GMT 2024","285","","Get applet completed activities tests →","","404 Not Found: invalid applet id","","Get applet completed activities tests → 404 Not Found: invalid applet id",""
"passed","Fri Aug 02 05:49:26 GMT 2024","Fri Aug 02 05:49:26 GMT 2024","154","","Create cross-day events tests →","","422 (Cross-day Event with WEEKLY periodicity type and availability range: 23:59:00-23:59:00)","","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with WEEKLY periodicity type and availability range: 23:59:00-23:59:00)",""
"passed","Fri Aug 02 05:57:01 GMT 2024","Fri Aug 02 05:57:01 GMT 2024","11","","422 Unprocessable Entity","","Create user with missing password param","","Create User tests → 422 Unprocessable Entity Create user with missing password param",""
"passed","Fri Aug 02 05:44:02 GMT 2024","Fri Aug 02 05:44:02 GMT 2024","247","","Edit Note tests →","","403 Forbidden (Update Note by respondent)","","Answer Notes tests → Edit Note tests → 403 Forbidden (Update Note by respondent)",""
"passed","Fri Aug 02 05:54:08 GMT 2024","Fri Aug 02 05:54:08 GMT 2024","230","","Get invitations for invitor →","","200 OK (empty list)","","Invitations endpoints tests → Get invitations → No Invitations created → Get invitations for invitor → 200 OK (empty list)",""
