"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","361","Answer Notes tests → Delete Note tests → 404 Not Found (Delete Note in not existing Applet)","","Wed Oct 30 17:00:25 GMT 2024","passed","Wed Oct 30 17:00:25 GMT 2024","","Delete Note tests →","404 Not Found (Delete Note in not existing Applet)",""
"","294","Workspaces managers access tests → Remove manager access → 403 Forbidden (try to remove access for yourself)","","Wed Oct 30 17:19:00 GMT 2024","passed","Wed Oct 30 17:19:00 GMT 2024","","Remove manager access →","403 Forbidden (try to remove access for yourself)",""
"","385","Applet Library tests → Share applet to the library 200 OK","","Wed Oct 30 17:04:47 GMT 2024","passed","Wed Oct 30 17:04:47 GMT 2024","","Share applet to the library","200 OK",""
"","374","Workspaces managers access tests → Remove manager access → 403 Forbidden (try to remove access for respondent)","","Wed Oct 30 17:19:00 GMT 2024","passed","Wed Oct 30 17:19:00 GMT 2024","","Remove manager access →","403 Forbidden (try to remove access for respondent)",""
"","149","Applet Events CRUD tests → Delete all general scheduled Applet Events tests → 401 Unauthorized (Delete all general scheduled Events with not existing appletOwnerToken)","","Wed Oct 30 17:07:17 GMT 2024","passed","Wed Oct 30 17:07:17 GMT 2024","","Delete all general scheduled Applet Events tests →","401 Unauthorized (Delete all general scheduled Events with not existing appletOwnerToken)",""
"","434","Answer Notes tests → Edit Note tests → 404 Not Found (Update Note of not existing Answer)","","Wed Oct 30 17:00:20 GMT 2024","passed","Wed Oct 30 17:00:20 GMT 2024","","Edit Note tests →","404 Not Found (Update Note of not existing Answer)",""
"","251","Invitations endpoints tests → Send invitation → Invitation Respondent Send → 422 Missing attributes Missing email","","Wed Oct 30 17:12:59 GMT 2024","passed","Wed Oct 30 17:12:59 GMT 2024","","422 Missing attributes","Missing email",""
"","433","Activity Assessment & Review CRUD tests → Get Assessment & Review tests → Get Assessment tests → 404 Not Found (Get Assessment of not existing Applet)","","Wed Oct 30 17:03:29 GMT 2024","passed","Wed Oct 30 17:03:29 GMT 2024","","Get Assessment tests →","404 Not Found (Get Assessment of not existing Applet)",""
"","364","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Get applet versions","","Wed Oct 30 17:10:37 GMT 2024","passed","Wed Oct 30 17:10:37 GMT 2024","","Add Activity Flow →","Get applet versions",""
"","152","Applet Events CRUD tests → Delete individual scheduled Applet Events negative tests → 401 Unauthorized (Delete scheduled Events of a particular user with not existing appletOwnerToken)","","Wed Oct 30 17:07:46 GMT 2024","passed","Wed Oct 30 17:07:46 GMT 2024","","Delete individual scheduled Applet Events negative tests →","401 Unauthorized (Delete scheduled Events of a particular user with not existing appletOwnerToken)",""
"","446","Administration tests → Organizers tests → View all organizers tests → 403 Forbidden (Coordinator can NOT view organizers)","","Wed Oct 30 17:15:18 GMT 2024","passed","Wed Oct 30 17:15:18 GMT 2024","","View all organizers tests →","403 Forbidden (Coordinator can NOT view organizers)",""
"","329","Invitations scenario tests → Re-send invitation flow → Invitor can see new invitation","","Wed Oct 30 17:12:25 GMT 2024","passed","Wed Oct 30 17:12:25 GMT 2024","","Re-send invitation flow →","Invitor can see new invitation",""
"","449","Shell account invitation scenario tests → Accept invitation by unregistered user → Send invitation to the shell account","","Wed Oct 30 17:13:57 GMT 2024","passed","Wed Oct 30 17:13:57 GMT 2024","","Accept invitation by unregistered user →","Send invitation to the shell account",""
"","152","Files upload/download tests → Upload File → 401 Unauthorized","","Wed Oct 30 17:11:10 GMT 2024","passed","Wed Oct 30 17:11:10 GMT 2024","","Upload File →","401 Unauthorized",""
"","359","Activity Assignments tests → Negative tests → Create Assignments → 400 bad request: assign activity to limited account","","Wed Oct 30 17:00:06 GMT 2024","passed","Wed Oct 30 17:00:06 GMT 2024","","Create Assignments →","400 bad request: assign activity to limited account",""
"","332","Workspaces endpoints tests → Workspaces created → Get managers priority role → 404 Not Found (Invalid ownerId)","","Wed Oct 30 17:20:04 GMT 2024","passed","Wed Oct 30 17:20:04 GMT 2024","","Get managers priority role →","404 Not Found (Invalid ownerId)",""
"","282","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with MONTHLY periodicity type and availability range: 00:00:00-00:00:00)","","Wed Oct 30 17:07:54 GMT 2024","passed","Wed Oct 30 17:07:54 GMT 2024","","Create cross-day events tests →","422 (Cross-day Event with MONTHLY periodicity type and availability range: 00:00:00-00:00:00)",""
"","426","Administration tests → Applets tests → Export & view data in workspace of Applet owner tests → View respondent's data tests → 403 Forbidden (Reviewer with no assigned respondents can NOT view data)","","Wed Oct 30 17:15:47 GMT 2024","passed","Wed Oct 30 17:15:47 GMT 2024","","View respondent's data tests →","403 Forbidden (Reviewer with no assigned respondents can NOT view data)",""
"","503","Applets ""setFolder"" endpoint tests → 200 OK (set folder)","","Wed Oct 30 17:08:57 GMT 2024","passed","Wed Oct 30 17:08:57 GMT 2024","","Applets ""setFolder"" endpoint tests →","200 OK (set folder)",""
"","145","Workspaces endpoints tests → Workspaces created → Get workspace applet managers → Negative tests → 401 Unauthorized","","Wed Oct 30 17:20:04 GMT 2024","passed","Wed Oct 30 17:20:04 GMT 2024","","Negative tests →","401 Unauthorized",""
