"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 30 15:18:35 GMT 2024","Fri Aug 30 15:18:35 GMT 2024","237","","422 Unprocessable Entity →","","Create Assessment with missing reviewerPublicKey param","","Activity Assessment & Review CRUD tests → Submit Assessment tests → 422 Unprocessable Entity → Create Assessment with missing reviewerPublicKey param",""
"passed","Fri Aug 30 15:19:16 GMT 2024","Fri Aug 30 15:19:16 GMT 2024","27","","Get Review Activities list tests →","","401 Unauthorized (Get Review Activities list with not existing token)","","Summary & Review activities tests → Get Summary and Review Activities (non-empty list) tests → Get Review Activities list tests → 401 Unauthorized (Get Review Activities list with not existing token)",""
"passed","Fri Aug 30 15:21:49 GMT 2024","Fri Aug 30 15:21:49 GMT 2024","223","","Remove individual scheduled Applet Events negative tests →","","404 Not Found (Remove scheduled Events of not existing user)","","Applet Events CRUD tests → Remove individual scheduled Applet Events negative tests → 404 Not Found (Remove scheduled Events of not existing user)",""
"passed","Fri Aug 30 15:19:55 GMT 2024","Fri Aug 30 15:19:55 GMT 2024","950","","Update applet →","","400 Bad Request (duplicate name)","","Applets CRUD endpoints tests → Update applet → 400 Bad Request (duplicate name)",""
"passed","Fri Aug 30 15:15:55 GMT 2024","Fri Aug 30 15:15:55 GMT 2024","311","","Get Notes list tests →","","200 OK (Get empty Notes list)","","Answer Notes tests → Get Notes list tests → 200 OK (Get empty Notes list)",""
"failed","Fri Aug 30 15:20:07 GMT 2024","Fri Aug 30 15:20:07 GMT 2024","927","","Positive tests →","","Applet with all hidden items","","Applet builder tests → Create applet → Positive tests → Applet with all hidden items",""
"passed","Fri Aug 30 15:24:09 GMT 2024","Fri Aug 30 15:24:09 GMT 2024","308","","Remove Activity →","","Get applet version changes","","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Get applet version changes",""
"passed","Fri Aug 30 15:27:46 GMT 2024","Fri Aug 30 15:27:47 GMT 2024","1153","","Invite new organizer tests →","","403 Forbidden (Respondent can NOT invite manager, coordinator, editor, reviewer)","","Administration tests → Organizers tests → Invite new organizer tests → 403 Forbidden (Respondent can NOT invite manager, coordinator, editor, reviewer)",""
"passed","Fri Aug 30 15:18:31 GMT 2024","Fri Aug 30 15:18:31 GMT 2024","237","","Get Assessment tests →","","404 Not Found (Get Assessment of not existing Applet)","","Activity Assessment & Review CRUD tests → Get Assessment & Review tests → Get Assessment tests → 404 Not Found (Get Assessment of not existing Applet)",""
"passed","Fri Aug 30 15:30:09 GMT 2024","Fri Aug 30 15:30:09 GMT 2024","460","","Create Folder →","","400 Bad request (duplicate item)","","""Workspace Folders"" endpoints tests → Workspace is created → Create Folder → 400 Bad request (duplicate item)",""
