"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","Invitations endpoints tests → Send invitation → Invitation Respondent Send → 422 Missing attributes Missing lastName","","Sat Dec 07 00:08:15 GMT 2024","passed","Sat Dec 07 00:08:15 GMT 2024","","422 Missing attributes","Missing lastName",""
"","376","Workspaces endpoints tests → Empty workspaces → Get workspace managers → 200 OK","","Sat Dec 07 00:14:28 GMT 2024","passed","Sat Dec 07 00:14:28 GMT 2024","","Get workspace managers →","200 OK",""
"","446","Workspaces endpoints tests → Workspaces created → Get user workspaces → Second applet owner","","Sat Dec 07 00:14:44 GMT 2024","passed","Sat Dec 07 00:14:44 GMT 2024","","Get user workspaces →","Second applet owner",""
"","391","Answers scenario tests → Review count in activity answers after submitting assessment by Applet owner and Reviewer Get review count by Reviewer","","Fri Dec 06 23:57:48 GMT 2024","passed","Fri Dec 06 23:57:48 GMT 2024","","Review count in activity answers after submitting assessment by Applet owner and Reviewer","Get review count by Reviewer",""
"","310","Invitations endpoints tests → Invite Shell account → 403: Forbidden","","Sat Dec 07 00:08:38 GMT 2024","passed","Sat Dec 07 00:08:38 GMT 2024","","Invite Shell account →","403: Forbidden",""
"","309","Applets CRUD endpoints tests → Create applet → 422 Unprocessable Entity (missing attribute) Missing ""display name""","","Sat Dec 07 00:00:33 GMT 2024","passed","Sat Dec 07 00:00:33 GMT 2024","","422 Unprocessable Entity (missing attribute)","Missing ""display name""",""
"","325","Administration tests → Respondents tests → Set schedule for respondents tests → 403 Forbidden (Reviewer can NOT schedule Event)","","Sat Dec 07 00:10:44 GMT 2024","passed","Sat Dec 07 00:10:44 GMT 2024","","Set schedule for respondents tests →","403 Forbidden (Reviewer can NOT schedule Event)",""
"","469","Shell account invitation scenario tests → Accept invitation by unregistered user → Shell account should be present in the list of respondents with ""not invited"" status before invitation is sent","","Sat Dec 07 00:09:14 GMT 2024","passed","Sat Dec 07 00:09:14 GMT 2024","","Accept invitation by unregistered user →","Shell account should be present in the list of respondents with ""not invited"" status before invitation is sent",""
"","389","Activity Versions & Identifiers tests → Get Versions tests → Applet has been updated → 200 OK (Get versions after updating item type, applet name and adding new item)","","Fri Dec 06 23:59:12 GMT 2024","passed","Fri Dec 06 23:59:12 GMT 2024","","Applet has been updated →","200 OK (Get versions after updating item type, applet name and adding new item)",""
"","326","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get flow submissions list & Flow answers of respondent tests → 404 Not Found (Get flow submission of not existing Applet)","","Fri Dec 06 23:58:20 GMT 2024","passed","Fri Dec 06 23:58:20 GMT 2024","","Get flow submissions list & Flow answers of respondent tests →","404 Not Found (Get flow submission of not existing Applet)",""
"","360","Activity Assignments tests → Negative tests → Get Assignments list → 403 Forbidden","","Fri Dec 06 23:55:28 GMT 2024","passed","Fri Dec 06 23:55:28 GMT 2024","","Get Assignments list →","403 Forbidden",""
