"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","239","Answer Notes tests → Delete Note tests → 404 Not Found (Delete Note for not existing activity)","","Mon Mar 31 15:38:32 GMT 2025","passed","Mon Mar 31 15:38:32 GMT 2025","","Delete Note tests →","404 Not Found (Delete Note for not existing activity)",""
"","12","Answer Notes tests → Create Notes tests → 401 Unauthorized (Create Note with not existing token)","","Mon Mar 31 15:38:28 GMT 2025","passed","Mon Mar 31 15:38:28 GMT 2025","","Create Notes tests →","401 Unauthorized (Create Note with not existing token)",""
"","349","Summary & Review activities tests → Get Summary and Review Activities (non-empty list) tests → Get Review Activities list tests → 200 OK (non-empty list)","","Mon Mar 31 15:42:31 GMT 2025","passed","Mon Mar 31 15:42:31 GMT 2025","","Get Review Activities list tests →","200 OK (non-empty list)",""
"","264","Answer Notes tests → Create Notes tests → 422 Unprocessable Entity (Create Note without required param - note)","","Mon Mar 31 15:38:28 GMT 2025","passed","Mon Mar 31 15:38:28 GMT 2025","","Create Notes tests →","422 Unprocessable Entity (Create Note without required param - note)",""
"","219","Applet Library tests → Applet is added to the library → Get Library Applet by id → 200 OK","","Mon Mar 31 15:42:46 GMT 2025","passed","Mon Mar 31 15:42:46 GMT 2025","","Get Library Applet by id →","200 OK",""
"","248","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Check answer existence tests → 200 OK (exists = false, non-existent activity id)","","Mon Mar 31 15:40:35 GMT 2025","passed","Mon Mar 31 15:40:35 GMT 2025","","Check answer existence tests →","200 OK (exists = false, non-existent activity id)",""
"","10","Files upload/download directly to S3 bucket tests → ""before all"" hook in ""Files upload/download directly to S3 bucket tests →""","","Mon Mar 31 15:42:56 GMT 2025","failed","Mon Mar 31 15:42:56 GMT 2025","","Files upload/download directly to S3 bucket tests →","""before all"" hook in ""Files upload/download directly to S3 bucket tests →""",""
"","195","Summary & Review activity flow tests → Get Review activity flow tests → 422 Unprocessable Entity (Get Review activity flow list without targetSubjectId query param)","","Mon Mar 31 15:42:40 GMT 2025","passed","Mon Mar 31 15:42:40 GMT 2025","","Get Review activity flow tests →","422 Unprocessable Entity (Get Review activity flow list without targetSubjectId query param)",""
"","254","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get activity answers list & Answers of respondent tests → 404 Not Found (Get Answer with not existing activityId)","","Mon Mar 31 15:40:38 GMT 2025","passed","Mon Mar 31 15:40:38 GMT 2025","","Get activity answers list & Answers of respondent tests →","404 Not Found (Get Answer with not existing activityId)",""
"","801","Workspaces managers access tests → ""before all"" hook in ""Workspaces managers access tests →""","","Mon Mar 31 15:43:12 GMT 2025","failed","Mon Mar 31 15:43:12 GMT 2025","","Workspaces managers access tests →","""before all"" hook in ""Workspaces managers access tests →""",""
"","448","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Create Answer tests → 201 (Answer can be created by Applet Owner)","","Mon Mar 31 15:40:31 GMT 2025","passed","Mon Mar 31 15:40:31 GMT 2025","","Create Answer tests →","201 (Answer can be created by Applet Owner)",""
"","558","Applet Library tests → Applet is added to the library → Cart test → Clear cart","","Mon Mar 31 15:42:50 GMT 2025","passed","Mon Mar 31 15:42:50 GMT 2025","","Cart test →","Clear cart",""
"","207","Applet Library tests → Share applet to the library 403 invalid applet id","","Mon Mar 31 15:42:45 GMT 2025","passed","Mon Mar 31 15:42:45 GMT 2025","","Share applet to the library","403 invalid applet id",""
