"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Administration tests → Organizers tests → Change organizer roles/permissions tests → 403 Forbidden (Respondent can NOT grant manager's permissions to coordinator)","","Wed Jun 18 15:26:35 GMT 2025","passed","Wed Jun 18 15:26:35 GMT 2025","","Change organizer roles/permissions tests →","403 Forbidden (Respondent can NOT grant manager's permissions to coordinator)",""
"","710","Answer Notes tests → Delete Note tests → 404 Not Found (Delete Note in not existing Applet)","","Wed Jun 18 15:04:21 GMT 2025","passed","Wed Jun 18 15:04:21 GMT 2025","","Delete Note tests →","404 Not Found (Delete Note in not existing Applet)",""
"","30042","Administration tests → Applets tests → Update Applet in workspace of Applet owner tests → 200 OK (Editor can update Applet)","","Wed Jun 18 15:27:08 GMT 2025","failed","Wed Jun 18 15:27:38 GMT 2025","","Update Applet in workspace of Applet owner tests →","200 OK (Editor can update Applet)",""
"","259","Access link tests → Create Access link tests → 201 Created (Access link can successfully be created)","","Wed Jun 18 15:11:31 GMT 2025","passed","Wed Jun 18 15:11:31 GMT 2025","","Create Access link tests →","201 Created (Access link can successfully be created)",""
"","246","Applets ""unique_name"" endpoint tests → 200 OK: not unique name (case insensitive)","","Wed Jun 18 15:19:17 GMT 2025","passed","Wed Jun 18 15:19:17 GMT 2025","","Applets ""unique_name"" endpoint tests →","200 OK: not unique name (case insensitive)",""
"","232","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get flow submissions list & Flow answers of respondent tests → 404 Not Found (Get flow submissions list of not existing Applet)","","Wed Jun 18 15:07:11 GMT 2025","passed","Wed Jun 18 15:07:11 GMT 2025","","Get flow submissions list & Flow answers of respondent tests →","404 Not Found (Get flow submissions list of not existing Applet)",""
"","216","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Create Answer tests → 422 Unprocessable Entity → Create Answer with missing answer param","","Wed Jun 18 15:07:02 GMT 2025","passed","Wed Jun 18 15:07:02 GMT 2025","","422 Unprocessable Entity →","Create Answer with missing answer param",""
"","396","Applet Events CRUD tests → Create cross-day events tests → 201 Created (Cross-day Event with DAILY periodicity type and availability range: 00:01:00-00:00:00)","","Wed Jun 18 15:14:19 GMT 2025","passed","Wed Jun 18 15:14:19 GMT 2025","","Create cross-day events tests →","201 Created (Cross-day Event with DAILY periodicity type and availability range: 00:01:00-00:00:00)",""
"","5085","Files upload/download directly to S3 bucket tests → Upload log files directly to storage (S3 bucket) Verify log file is accessible by the link (can be downloaded)","","Wed Jun 18 15:21:37 GMT 2025","passed","Wed Jun 18 15:21:42 GMT 2025","","Upload log files directly to storage (S3 bucket)","Verify log file is accessible by the link (can be downloaded)",""
"","735","Invitations endpoints tests → Send invitation → Invitation Managers Send → 200 OK (send to unregistered user) Role = coordinator","","Wed Jun 18 15:23:38 GMT 2025","passed","Wed Jun 18 15:23:38 GMT 2025","","200 OK (send to unregistered user)","Role = coordinator",""
"","5502","Applet ""Transfer Ownership"" scenario tests → Transfer Accept → Applet owner should remain the same before transfer request accepted by another user","","Wed Jun 18 15:16:28 GMT 2025","passed","Wed Jun 18 15:16:33 GMT 2025","","Transfer Accept →","Applet owner should remain the same before transfer request accepted by another user",""
"","232","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Get activity answers list & Answers of respondent tests → 404 Not Found (Get Answer of not existing Applet)","","Wed Jun 18 15:07:07 GMT 2025","passed","Wed Jun 18 15:07:07 GMT 2025","","Get activity answers list & Answers of respondent tests →","404 Not Found (Get Answer of not existing Applet)",""
"","1880","Administration tests → Perform activities tests → 200 OK (Coordinator can submit answers)","","Wed Jun 18 15:29:29 GMT 2025","passed","Wed Jun 18 15:29:30 GMT 2025","","Perform activities tests →","200 OK (Coordinator can submit answers)",""
"","275","Flow Versions & Identifiers tests → Get flow Versions tests → 200: Empty list (Get flow versions of not existing activityFlowId)","","Wed Jun 18 15:08:16 GMT 2025","passed","Wed Jun 18 15:08:16 GMT 2025","","Get flow Versions tests →","200: Empty list (Get flow versions of not existing activityFlowId)",""
"","211","Administration tests → Respondents tests → Invite new reviewer for a specific respondent tests → 403 Forbidden (Reviewer can NOT invite new reviewer for a specific respondent)","","Wed Jun 18 15:26:47 GMT 2025","passed","Wed Jun 18 15:26:47 GMT 2025","","Invite new reviewer for a specific respondent tests →","403 Forbidden (Reviewer can NOT invite new reviewer for a specific respondent)",""
"","374","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Get applet versions","","Wed Jun 18 15:19:50 GMT 2025","passed","Wed Jun 18 15:19:50 GMT 2025","","Add Activity Flow →","Get applet versions",""
"","351","Summary & Review activity flow tests → Get Summary activity flow tests → 200 OK (non-empty list)","","Wed Jun 18 15:11:14 GMT 2025","passed","Wed Jun 18 15:11:14 GMT 2025","","Get Summary activity flow tests →","200 OK (non-empty list)",""
"","721","Applet builder tests → Create applet → Positive tests → Applet with all hidden activities","","Wed Jun 18 15:12:23 GMT 2025","passed","Wed Jun 18 15:12:23 GMT 2025","","Positive tests →","Applet with all hidden activities",""
"","477","Invitations scenario tests → Re-send invitation flow → User should not be able to accept/decline same invitation again","","Wed Jun 18 15:22:48 GMT 2025","passed","Wed Jun 18 15:22:48 GMT 2025","","Re-send invitation flow →","User should not be able to accept/decline same invitation again",""
"","15","Applet versions endpoints tests → Get applet versions → 401 Unauthorized","","Wed Jun 18 15:19:26 GMT 2025","passed","Wed Jun 18 15:19:26 GMT 2025","","Get applet versions →","401 Unauthorized",""
"","1256","Activity Versions & Identifiers tests → Get Identifiers tests → 404 Not Found (Get identifiers of not existing Applet)","","Wed Jun 18 15:09:43 GMT 2025","passed","Wed Jun 18 15:09:44 GMT 2025","","Get Identifiers tests →","404 Not Found (Get identifiers of not existing Applet)",""
"","151","""Workspace Folders"" endpoints tests → Workspace is created → Create Folder → 422 Unprocessable Entity (missing attribute)","","Wed Jun 18 15:32:39 GMT 2025","passed","Wed Jun 18 15:32:39 GMT 2025","","Create Folder →","422 Unprocessable Entity (missing attribute)",""
"","4039","Applet builder tests → Update applet → Change item type","","Wed Jun 18 15:12:38 GMT 2025","passed","Wed Jun 18 15:12:42 GMT 2025","","Update applet →","Change item type",""
"","2301","Applet public links tests → Accept Public invitation tests → 200 OK (any other user can also accept public link invitation)","","Wed Jun 18 15:23:58 GMT 2025","passed","Wed Jun 18 15:24:00 GMT 2025","","Accept Public invitation tests →","200 OK (any other user can also accept public link invitation)",""
"","1035","Applet ""Transfer Ownership"" scenario tests → Transfer Accept → First receiver should become the owner → Verify Pending Invitations & Public link","","Wed Jun 18 15:17:45 GMT 2025","passed","Wed Jun 18 15:17:46 GMT 2025","","First receiver should become the owner →","Verify Pending Invitations & Public link",""
"","467","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Get applet versions","","Wed Jun 18 15:19:57 GMT 2025","passed","Wed Jun 18 15:19:57 GMT 2025","","Add Activity Item →","Get applet versions",""
"","354","Applet Library tests → Share applet to the library 200 OK","","Wed Jun 18 15:11:21 GMT 2025","passed","Wed Jun 18 15:11:21 GMT 2025","","Share applet to the library","200 OK",""
"","341","Get applet completed activities tests → 404 Not Found: invalid applet id","","Wed Jun 18 15:04:29 GMT 2025","passed","Wed Jun 18 15:04:29 GMT 2025","","Get applet completed activities tests →","404 Not Found: invalid applet id",""
"","16","""Workspace Folders"" endpoints tests → Workspace is created → Create Folder → 401 Unauthorized (invalid token)","","Wed Jun 18 15:32:39 GMT 2025","passed","Wed Jun 18 15:32:39 GMT 2025","","Create Folder →","401 Unauthorized (invalid token)",""
"","264","Invitations scenario tests → Invite unregistered user flow → New user can view invitation after registration","","Wed Jun 18 15:22:56 GMT 2025","passed","Wed Jun 18 15:22:56 GMT 2025","","Invite unregistered user flow →","New user can view invitation after registration",""
"","192","Applet Events CRUD tests → Count scheduled Applet Events tests → 404 Not Found (Count general scheduled Events of not existing Applet)","","Wed Jun 18 15:14:09 GMT 2025","passed","Wed Jun 18 15:14:09 GMT 2025","","Count scheduled Applet Events tests →","404 Not Found (Count general scheduled Events of not existing Applet)",""
"","146","Applet Events CRUD tests → Update Applet Event tests → 422 Unprocessable Entity → Update Event with missing endTime (periodicity type: WEEKDAYS) param","","Wed Jun 18 15:14:06 GMT 2025","passed","Wed Jun 18 15:14:06 GMT 2025","","422 Unprocessable Entity →","Update Event with missing endTime (periodicity type: WEEKDAYS) param",""
"","1166","Administration tests → Applets tests → Export & view data in workspace of Applet owner tests → View respondent's data tests → 403 Forbidden (Reviewer with no assigned respondents can NOT view data)","","Wed Jun 18 15:28:53 GMT 2025","passed","Wed Jun 18 15:28:54 GMT 2025","","View respondent's data tests →","403 Forbidden (Reviewer with no assigned respondents can NOT view data)",""
"","1189","Applet ""Transfer Ownership"" scenario tests → Transfer Decline → First receiver should not be able to accept request after declination","","Wed Jun 18 15:17:54 GMT 2025","passed","Wed Jun 18 15:17:55 GMT 2025","","Transfer Decline →","First receiver should not be able to accept request after declination",""
"","277","Activity Assessment & Review CRUD tests → Delete Assessment tests → 404 Not Found (Delete submitted assessment in not existing Applet)","","Wed Jun 18 15:08:08 GMT 2025","passed","Wed Jun 18 15:08:08 GMT 2025","","Delete Assessment tests →","404 Not Found (Delete submitted assessment in not existing Applet)",""
"","572","Files upload/download tests → Upload File → 422 Empty form data","","Wed Jun 18 15:20:50 GMT 2025","passed","Wed Jun 18 15:20:50 GMT 2025","","Upload File →","422 Empty form data",""
"","479","Access link tests → Delete Access link tests → 404 (Delete already deleted Access link)","","Wed Jun 18 15:11:34 GMT 2025","passed","Wed Jun 18 15:11:34 GMT 2025","","Delete Access link tests →","404 (Delete already deleted Access link)",""
"","207","Applet Library tests → Applet is added to the library → Update Library item → 404 Not Found (library item)","","Wed Jun 18 15:11:25 GMT 2025","passed","Wed Jun 18 15:11:25 GMT 2025","","Update Library item →","404 Not Found (library item)",""
"","702","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Update Activity Item → Update Activity Flow → Get applet version by id","","Wed Jun 18 15:20:18 GMT 2025","passed","Wed Jun 18 15:20:18 GMT 2025","","Update Activity Flow →","Get applet version by id",""
"","150056","Workspaces managers access tests → ""after all"" hook in ""Workspaces managers access tests →""","","Wed Jun 18 15:33:14 GMT 2025","failed","Wed Jun 18 15:35:44 GMT 2025","","Workspaces managers access tests →","""after all"" hook in ""Workspaces managers access tests →""",""
"","2708","Shell account invitation scenario tests → Decline invitation by unregistered user → New user registers in the app","","Wed Jun 18 15:24:42 GMT 2025","passed","Wed Jun 18 15:24:44 GMT 2025","","Decline invitation by unregistered user →","New user registers in the app",""
"","17","Update User tests → 401 Unauthorized (Update User with not existing token)","","Wed Jun 18 15:31:55 GMT 2025","passed","Wed Jun 18 15:31:55 GMT 2025","","Update User tests →","401 Unauthorized (Update User with not existing token)",""
"","120","Files upload/download directly to S3 bucket tests → Upload answer files directly to storage (S3 bucket) Verify answer is accessible by presigned link (can be downloaded)","","Wed Jun 18 15:21:43 GMT 2025","passed","Wed Jun 18 15:21:43 GMT 2025","","Upload answer files directly to storage (S3 bucket)","Verify answer is accessible by presigned link (can be downloaded)",""
"","238","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Check answer existence tests → 200 OK (exists = false, check by applet owner w/o submitId)","","Wed Jun 18 15:07:04 GMT 2025","passed","Wed Jun 18 15:07:04 GMT 2025","","Check answer existence tests →","200 OK (exists = false, check by applet owner w/o submitId)",""
"","395","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Add Activity Item → Remove Activity Item → Update Activity → Get applet versions","","Wed Jun 18 15:20:07 GMT 2025","passed","Wed Jun 18 15:20:07 GMT 2025","","Update Activity →","Get applet versions",""
"","212","Update Password tests → 422 Unprocessable Entity Update password with missing prevPassword param","","Wed Jun 18 15:31:50 GMT 2025","passed","Wed Jun 18 15:31:50 GMT 2025","","422 Unprocessable Entity","Update password with missing prevPassword param",""
"","1322","Invitations endpoints tests → Send invitation → Invitation Reviewer Send → 200 OK (send to unregistered user) With workspace prefix, language: fr","","Wed Jun 18 15:23:30 GMT 2025","passed","Wed Jun 18 15:23:31 GMT 2025","","200 OK (send to unregistered user)","With workspace prefix, language: fr",""
"","350","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Remove Activity Flow → Get applet versions","","Wed Jun 18 15:19:54 GMT 2025","passed","Wed Jun 18 15:19:54 GMT 2025","","Remove Activity Flow →","Get applet versions",""
"","531","Shell account invitation scenario tests → Accept invitation by unregistered user → Verify invitation in list of invitations","","Wed Jun 18 15:24:30 GMT 2025","failed","Wed Jun 18 15:24:30 GMT 2025","","Accept invitation by unregistered user →","Verify invitation in list of invitations",""
"","443","Applet Events CRUD tests → Create cross-day events tests → 201 Created (Cross-day Event with WEEKDAYS periodicity type and availability range: 00:01:00-00:00:00)","","Wed Jun 18 15:14:19 GMT 2025","passed","Wed Jun 18 15:14:19 GMT 2025","","Create cross-day events tests →","201 Created (Cross-day Event with WEEKDAYS periodicity type and availability range: 00:01:00-00:00:00)",""
"","210","Get submit dates & exported Answers data tests → Get dates before Answer submit → 403 Forbidden (Get submit dates by respondent)","","Wed Jun 18 15:05:05 GMT 2025","passed","Wed Jun 18 15:05:05 GMT 2025","","Get dates before Answer submit →","403 Forbidden (Get submit dates by respondent)",""
"","221","Invitations endpoints tests → Send invitation → Invitation Respondent Send → 422 Missing attributes Missing firstName","","Wed Jun 18 15:23:26 GMT 2025","passed","Wed Jun 18 15:23:26 GMT 2025","","422 Missing attributes","Missing firstName",""
"","391","Invitations endpoints tests → Get invitations → Invitation created → Get invitations for invitor → 200 OK (non-empty list)","","Wed Jun 18 15:23:13 GMT 2025","passed","Wed Jun 18 15:23:13 GMT 2025","","Get invitations for invitor →","200 OK (non-empty list)",""
"","151","Applet Events CRUD tests → Create cross-day events tests → 422 (Cross-day Event with ONCE periodicity type and availability range: 15:30:00-15:30:00)","","Wed Jun 18 15:14:19 GMT 2025","passed","Wed Jun 18 15:14:19 GMT 2025","","Create cross-day events tests →","422 (Cross-day Event with ONCE periodicity type and availability range: 15:30:00-15:30:00)",""
"","337","Files upload/download directly to S3 bucket tests → Generate presigned links EPs negative tests Presign link 422 Unprocessable entity (empty body)","","Wed Jun 18 15:22:10 GMT 2025","passed","Wed Jun 18 15:22:10 GMT 2025","","Presign link","422 Unprocessable entity (empty body)",""
"","1157","Applet ""Transfer Ownership"" scenario tests → Transfer Accept → First receiver should become the owner → Verify transferred respondents list","","Wed Jun 18 15:17:45 GMT 2025","failed","Wed Jun 18 15:17:46 GMT 2025","","First receiver should become the owner →","Verify transferred respondents list",""
"","1510","Administration tests → Applets tests → Create Applet in workspace of Applet owner tests → 201 Created (Editor can create Applet in workspace of Applet owner)","","Wed Jun 18 15:27:04 GMT 2025","passed","Wed Jun 18 15:27:05 GMT 2025","","Create Applet in workspace of Applet owner tests →","201 Created (Editor can create Applet in workspace of Applet owner)",""
"","140","Applets CRUD endpoints tests → Create applet → 422 Unprocessable Entity (missing attribute) Missing ""activities""","","Wed Jun 18 15:11:45 GMT 2025","passed","Wed Jun 18 15:11:45 GMT 2025","","422 Unprocessable Entity (missing attribute)","Missing ""activities""",""
"","1814","Summary & Review activities tests → Get Summary and Review Activities (empty list) tests → Get Summary Activities (empty list) →","","Wed Jun 18 15:10:56 GMT 2025","passed","Wed Jun 18 15:10:57 GMT 2025","","Get Summary and Review Activities (empty list) tests →","Get Summary Activities (empty list) →",""
"","4197","Administration tests → Applets tests → Update Applet in workspace of Applet owner tests → 403 Forbidden (Coordinator can NOT update Applet)","","Wed Jun 18 15:27:08 GMT 2025","passed","Wed Jun 18 15:27:12 GMT 2025","","Update Applet in workspace of Applet owner tests →","403 Forbidden (Coordinator can NOT update Applet)",""
"","399","Summary & Review activities tests → Get Summary and Review Activities (non-empty list) tests → Get Review Activities list tests → 200 OK (non-empty list)","","Wed Jun 18 15:11:03 GMT 2025","passed","Wed Jun 18 15:11:03 GMT 2025","","Get Review Activities list tests →","200 OK (non-empty list)",""
"","16","""Authentication"" endpoints tests → Refresh Token → 422 Unprocessable Entity (missing attribute)","","Wed Jun 18 15:20:35 GMT 2025","passed","Wed Jun 18 15:20:35 GMT 2025","","Refresh Token →","422 Unprocessable Entity (missing attribute)",""
"","16","Get applet completed activities tests → 401 Unauthorized","","Wed Jun 18 15:04:29 GMT 2025","passed","Wed Jun 18 15:04:29 GMT 2025","","Get applet completed activities tests →","401 Unauthorized",""
"","319","Activity Assignments tests → Negative tests → Create Assignments → 400 bad request: assign activity to limited account","","Wed Jun 18 15:04:00 GMT 2025","passed","Wed Jun 18 15:04:00 GMT 2025","","Create Assignments →","400 bad request: assign activity to limited account",""
"","221","Summary & Review activity flow tests → Get Review activity flow tests → 422 Unprocessable Entity (Get Review activity flow list without targetSubjectId query param)","","Wed Jun 18 15:11:15 GMT 2025","passed","Wed Jun 18 15:11:15 GMT 2025","","Get Review activity flow tests →","422 Unprocessable Entity (Get Review activity flow list without targetSubjectId query param)",""
"","209","Applets ""unique_name"" endpoint tests → 200 OK: not unique name with non-existent excludingAppletId","","Wed Jun 18 15:19:17 GMT 2025","passed","Wed Jun 18 15:19:17 GMT 2025","","Applets ""unique_name"" endpoint tests →","200 OK: not unique name with non-existent excludingAppletId",""
"","166","Applet builder tests → Create applet → Negative tests → Text item with incorrect config","","Wed Jun 18 15:12:37 GMT 2025","passed","Wed Jun 18 15:12:37 GMT 2025","","Negative tests →","Text item with incorrect config",""
"","166","""Themes"" endpoints tests → Update Theme → 404 Not Found (non-existent theme)","","Wed Jun 18 15:30:58 GMT 2025","passed","Wed Jun 18 15:30:58 GMT 2025","","Update Theme →","404 Not Found (non-existent theme)",""
"","538","Answers scenario tests → Review count in activity answers after submitting assessment by Applet owner and Reviewer Get review count by Applet owner","","Wed Jun 18 15:06:40 GMT 2025","passed","Wed Jun 18 15:06:40 GMT 2025","","Review count in activity answers after submitting assessment by Applet owner and Reviewer","Get review count by Applet owner",""
"","223","Invitations endpoints tests → Get invitations → Invitation created → Get invitation by key → 200 OK","","Wed Jun 18 15:23:13 GMT 2025","passed","Wed Jun 18 15:23:13 GMT 2025","","Get invitation by key →","200 OK",""
"","576","Shell account invitation scenario tests → Accept invitation by already registered user → Verify there's no shell account anymore in the list of respondents","","Wed Jun 18 15:24:55 GMT 2025","failed","Wed Jun 18 15:24:55 GMT 2025","","Accept invitation by already registered user →","Verify there's no shell account anymore in the list of respondents",""
"","116","Shell account invitation scenario tests → Accept invitation by unregistered user → New user can accept invitation after registration","","Wed Jun 18 15:24:30 GMT 2025","failed","Wed Jun 18 15:24:30 GMT 2025","","Accept invitation by unregistered user →","New user can accept invitation after registration",""
"","172","Invitations endpoints tests → Send invitation → Invitation Managers Send → 422 Missing attributes Missing role","","Wed Jun 18 15:23:44 GMT 2025","passed","Wed Jun 18 15:23:44 GMT 2025","","422 Missing attributes","Missing role",""
"","149","Applet builder tests → Create applet → Negative tests → Duplicate Activity name","","Wed Jun 18 15:12:37 GMT 2025","passed","Wed Jun 18 15:12:37 GMT 2025","","Negative tests →","Duplicate Activity name",""
"","144","Applet Events CRUD tests → Create Events tests → 422 Unprocessable Entity → Create Event with missing endTime (periodicity type: DAILY) param","","Wed Jun 18 15:13:42 GMT 2025","passed","Wed Jun 18 15:13:42 GMT 2025","","422 Unprocessable Entity →","Create Event with missing endTime (periodicity type: DAILY) param",""
"","375","Applet versions endpoints tests → Update Applet → Add Activity → Remove Activity → Add Activity Flow → Get applet version changes","","Wed Jun 18 15:19:50 GMT 2025","passed","Wed Jun 18 15:19:50 GMT 2025","","Add Activity Flow →","Get applet version changes",""
"","6769","Administration tests → Applets tests → Update Applet in workspace of Applet owner tests → 403 Forbidden (Respondent can NOT update Applet)","","Wed Jun 18 15:27:08 GMT 2025","passed","Wed Jun 18 15:27:14 GMT 2025","","Update Applet in workspace of Applet owner tests →","403 Forbidden (Respondent can NOT update Applet)",""
"","285","Get submit dates & exported Answers data tests → Get exported data & dates after answer submit → 200 OK: empty list (Get exported data by coordinator)","","Wed Jun 18 15:05:06 GMT 2025","passed","Wed Jun 18 15:05:06 GMT 2025","","Get exported data & dates after answer submit →","200 OK: empty list (Get exported data by coordinator)",""
"","14","Applets ""setFolder"" endpoint tests → 401 Unauthorized","","Wed Jun 18 15:16:07 GMT 2025","passed","Wed Jun 18 15:16:07 GMT 2025","","Applets ""setFolder"" endpoint tests →","401 Unauthorized",""
"","156","Answers CRUD tests → Answers handling after invitation acceptance by respondent → Check answer existence tests → 422 Unprocessable Entity (missing body params)","","Wed Jun 18 15:07:04 GMT 2025","passed","Wed Jun 18 15:07:04 GMT 2025","","Check answer existence tests →","422 Unprocessable Entity (missing body params)",""
"","1652","Applet builder tests → Create applet → Positive tests → Performance task activities: A/B Trails Tablet and A/B Trails Mobile","","Wed Jun 18 15:12:23 GMT 2025","passed","Wed Jun 18 15:12:24 GMT 2025","","Positive tests →","Performance task activities: A/B Trails Tablet and A/B Trails Mobile",""
"","548","Invitations endpoints tests → Create shell account → 200 OK: shell account with email","","Wed Jun 18 15:23:45 GMT 2025","passed","Wed Jun 18 15:23:45 GMT 2025","","Create shell account →","200 OK: shell account with email",""
"","1163","Applet ""Transfer Ownership"" scenario tests → Transfer Decline → First receiver declines transfer request","","Wed Jun 18 15:17:54 GMT 2025","passed","Wed Jun 18 15:17:55 GMT 2025","","Transfer Decline →","First receiver declines transfer request",""
"","366","Get applet completed activities tests → Respondent completes the 1st activity within default always available event → 200 OK : first activity completion should be present","","Wed Jun 18 15:04:39 GMT 2025","passed","Wed Jun 18 15:04:39 GMT 2025","","Respondent completes the 1st activity within default always available event →","200 OK : first activity completion should be present",""
